"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"15837","10629-Star Metallics & Power Pvt Ltd","Red","BLY","14/07/16","CfO-Renewal","Granted","84978","15/02/17","AWH-302081","AWH-302081","30/06/21","4073--15/02/2017"
"19933","32501-Sri Sai Laxmi Services","Orange","MNG","13/02/17","CfE-Fresh","Granted","87685","15/02/17","CTE-302080","CTE-302080","30/06/21","4072--15/02/2017"
"16334","29773-Udapudi Cements Pvt. Ltd.","Red","YDG","30/06/16","CfO-Renewal","Granted","84676","15/02/17","AW-302079","AW-302079","30/06/21","4071--15/02/2017"
"13773","28354-Naganapur Limestone Mine of M/s. Sri Nandi Mining Company","Red","BGK","01/04/16","CfE-Fresh","Granted","83203","15/02/17","CTE-302078","CTE-302078","30/06/21","4070--15/02/2017"
"18026","27382-Shri Sai Priya Sugars Limited","Red","BGK","18/11/16","CfO-Fresh","Granted","86742","15/02/17","AW-302077","AW-302077","30/06/21","4069--15/02/2017"
"18601","31318-Seutic Labs Private Limited.,","Red","BDR","07/11/16","CfO-Fresh","Granted","86641","15/02/17","AW-302076","AW-302076","30/06/21","4068--15/02/2017"
"18239","31343-Tyron Green Fuels","Red","RCH","18/10/16","CfO-Fresh","Granted","86637","15/02/17","AW-302075","AW-302075","30/06/21","4067--15/02/2017"
"16803","29214-M\s Prithvi Chemicals Manufacturing Company Pvt Ltd","Green","TMK","08/11/16","CfO-Renewal","Granted","86650","15/02/17","AW-302074","AW-302074","30/06/21","4066--15/02/2017"
"18884","15196-Galvano Castings Private Ltd.,","Orange","B11","01/02/17","CfO-Renewal","Granted","87618","15/02/17","AW-302073","AW-302073","30/06/21","4065--15/02/2017"
"19456","16607-Sri Bhagyalakshmi Enterprises (Formerly Sri. Bhagyalakshmi Poha Industries)","Green","B05","15/02/17","CfO-Renewal","Granted","87704","15/02/17","AW-103699","AW-103699","30/06/21","4064--15/02/2017"
"16340","10041-Nirani Sugars Ltd","Red","BGK","28/10/16","CfO-Renewal","Granted","86566","15/02/17","AWH-302072","AWH-302072","30/06/21","4063--15/02/2017"
"19912","28563-Ramanadurga Iron Ore Mine of Ms. Sri Kumaraswamy Mineral Exports Pvt. Ltd.","Red","BLY","01/02/17","CfO-Renewal","Granted","87575","15/02/17","AW-302071","AW-302071","30/06/21","4062--15/02/2017"
"19535","32101-Saishakti Polysacks Pvt Ltd","Green","BGK","15/02/17","CfE-Fresh","Granted","87701","15/02/17","CTE-103698","CTE-103698","30/06/21","4061--15/02/2017"
"19292","25890-Bonfiglioli Renewable Power Conversion India (P) Ltd.","Green","B11","05/01/17","CfO-Renewal","Granted","87260","15/02/17","AW-103697","AW-103697","30/06/21","4060--15/02/2017"
"19828","32412-M\s Sadbhav Enterprises","Green","UDP","13/02/17","CfE-Fresh","Granted","87684","15/02/17","CTE-103696","CTE-103696","30/06/21","4059--15/02/2017"
"19481","32096-S A Rawther Spices (P) Ltd","Orange","RMN","01/02/17","CfE-Fresh","Granted","87620","14/02/17","CTE-302070","CTE-302070","30/06/21","4058--14/02/2017"
"19348","30245-Tectonics","Orange","MY2","28/01/17","CfO-Renewal","Granted","87517","14/02/17","AW-302069","AW-302069","30/06/21","4057--14/02/2017"
"19853","32414- prajna Company","Green","UDP","08/02/17","CfE-Fresh","Granted","87644","14/02/17","CTE-103695","CTE-103695","30/06/21","4056--14/02/2017"
"15015","16099-Sri Sathya Sai Institute Of Higher Medical Sciences","Red","B10","21/06/16","CfO-Renewal","Granted","84515","14/02/17","AW-302068","AW-302068","30/06/21","4055--14/02/2017"
