"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"126937","28914-Arihant Minerals","Orange","BE2","31/08/21","CfE-Expand","Granted","189844","24/09/21","CTE-327027","CTE-327027","30/08/24","44061--24/09/2021"
"125471","16145-Vinayak.S Jadav Stone Crusher (Stone Crusher & M-sand)","Orange","DHW","10/08/21","CfO-Renewal","Granted","190259","24/09/21","AW-327026","AW-327026","30/09/30","44060--24/09/2021"
"125745","104009-Rajveer Hallmarking Centre","Orange","DHW","30/08/21","CfO-Fresh","Granted","190116","24/09/21","AW-327025","AW-327025","30/09/30","44058--24/09/2021"
"127322","85955-Engineered Components And Systems India Pvt Ltd","Green","B04","02/09/21","HWM-AutoRenewal","Granted","0","24/09/21","H-117819","H-117819","31/12/23","44056--24/09/2021"
"127528","106323-Gtb Concrete Llp","Green","B07","24/09/21","CfE-Fresh","Granted","190471","24/09/21","CTE-117817","CTE-117817","23/09/24","44055--24/09/2021"
"127347","106192-Laxmi Venkateshwara Cement Pipes","Green","BJR","23/09/21","CfO-Fresh","Granted","190461","24/09/21","AW-117816","AW-117816","31/12/35","44054--24/09/2021"
"125992","105556-Shri Banashankari Rice Industries","Orange","BE2","26/08/21","CfO-Fresh","Granted","189708","24/09/21","AW-327023","AW-327023","30/09/30","44053--24/09/2021"
"128062","106469-ICS Mobile Private Limited","Green","B07","24/09/21","CfO-Fresh","Granted","190470","24/09/21","AW-117815","AW-117815","31/12/36","44052--24/09/2021"
"124281","21630-CGI Information Systems & Management Consultants Private Limited: CGI ISMS","Orange","B10","26/08/21","CfO-Renewal","Granted","189740","24/09/21","A-327022","A-327022","30/09/30","44051--24/09/2021"
"127212","80565-Garudachala Estates Pvt. Ltd.,","Orange","B10","20/09/21","CfO-Fresh","Granted","190365","24/09/21","AW-327021","AW-327021","30/09/30","44050--24/09/2021"
"127015","21268-Anwar Enterprises","Orange","B04","22/09/21","CfO-Renewal","Granted","190409","24/09/21","AW-327020","AW-327020","30/09/31","44049--24/09/2021"
"124611","12025-Mahalaxmi Stone Crushing Industries","Orange","DHW","10/08/21","CfO-Renewal","Granted","190383","23/09/21","AW-327019","AW-327019","30/09/30","44048--23/09/2021"
"127260","31200-Dks Enterprises,Plot No.273-B, KIADB Industrial Area, Harohalli,","Orange","RMN","22/09/21","CfO-Renewal","Granted","190405","23/09/21","W-327018","W-327018","30/09/31","44047--23/09/2021"
"125072","10040-EID Parry (India) Ltd","Red","BGK","21/08/21","CfO-Renewal","Granted","189585","23/09/21","AW-327017","AW-327017","30/06/26","44046--23/09/2021"
"124585","11316-R.L.Fine Chem, Unit-2","Red","B08","18/08/21","CfO-Renewal","Granted","189522","23/09/21","AW-327016","AW-327016","30/08/26","44045--23/09/2021"
"128192","27424-Magadi Quarry And Crushers, Sy No.76. Magadi Taluk, Ramanagara District","Orange","RMN","23/09/21","CfO-Renewal","Granted","190449","23/09/21","AW-327015","AW-327015","30/09/31","44044--23/09/2021"
"112934","11517-E.I.D. Parry (India) Ltd.","Red","KWR","26/07/21","CfO-Renewal","Granted","188894","23/09/21","AW-327014","AW-327014","30/06/26","44043--23/09/2021"
"128208","29900-Rock Star Stone Crushing Company","Orange","RMN","23/09/21","CfO-Renewal","Granted","190462","23/09/21","AW-327013","AW-327013","30/09/31","44042--23/09/2021"
"128193","29662-Crs Stone Crusher","Orange","RMN","23/09/21","CfO-Renewal","Granted","190453","23/09/21","AW-327010","AW-327010","30/09/31","44039--23/09/2021"
"113797","13223-Venkateshwara Power Project Ltd.","Red","BE2","19/06/21","CfO-Renewal","Granted","188186","23/09/21","AW-327009","AW-327009","30/06/26","44038--23/09/2021"
"110474","12612-Shrikanth Stone Crushing Industries","Orange","DHW","15/06/21","CfO-Renewal","Granted","190121","23/09/21","AW-327008","AW-327008","30/09/30","44037--23/09/2021"
"127976","29824-Kawasaki Manufacturing (India) Pvt Ltd","Orange","RMN","23/09/21","CfE-Expand","Granted","190459","23/09/21","CTE-327007","CTE-327007","22/09/26","44036--23/09/2021"
"125605","105170-Sri Balaji Polymers","Orange","B09","22/09/21","CfO-Fresh","Granted","190428","23/09/21","W-327005","W-327005","30/09/30","44034--23/09/2021"
"113379","10038-Gem Sugars Ltd","Red","BGK","06/07/21","CfO-Renewal","Granted","188506","23/09/21","A-327004","A-327004","30/06/26","44033--23/09/2021"
"127787","106453-Sri Annamma Plastics","Orange","B09","22/09/21","CfO-Fresh","Granted","190426","23/09/21","W-327002","W-327002","30/09/30","44031--23/09/2021"
"113380","29236-Gem Sugars Limited, Distillery Division, Kundaragi","Red","BGK","13/07/21","CfO-Renewal","Granted","188624","23/09/21","AW-326996","AW-326996","30/06/26","44025--23/09/2021"
"127777","106219-Sf Polymers","Orange","B09","22/09/21","CfO-Fresh","Granted","190425","23/09/21","W-326994","W-326994","30/09/30","44023--23/09/2021"
"125686","105398-Elite Plastics","Orange","B09","22/09/21","CfO-Fresh","Granted","190424","23/09/21","W-326993","W-326993","30/09/30","44022--23/09/2021"
"127785","106283-Bhaveesh Plastics","Orange","B09","22/09/21","CfO-Fresh","Granted","190422","23/09/21","W-326992","W-326992","30/09/30","44021--23/09/2021"
