"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"20676","32986-Royal Food Products","Green","CKM","05/04/17","CfE-Fresh","Granted","88502","02/05/17","CTE-104052","CTE-104052","30/06/21","4891--02/05/2017"
"20677","32746-Rest Inn","Green","CKM","05/04/17","CfO-Renewal","Granted","88501","02/05/17","AW-104051","AW-104051","30/06/21","4890--02/05/2017"
"20576","31519-Tata Tele Services Ltd.,","Green","DHW","17/04/17","CfO-Expand","Granted","88530","02/05/17","AW-104050","AW-104050","30/06/21","4889--02/05/2017"
"21177","33253-M\s.A.S.Granites,","Green","HAS","02/05/17","CfO-Renewal","Granted","88535","02/05/17","W-104049","W-104049","30/06/21","4888--02/05/2017"
"20546","32624-Auto Mac Diesels","Orange","DHW","28/04/17","CfO-Renewal","Granted","88524","28/04/17","AW-302545","AW-302545","30/06/21","4887--28/04/2017"
"16524","30018-Ms Bangalore Airport Hotel Limited","Red","BR1","25/11/16","CfO-Renewal","Granted","86822","28/04/17","AW-302544","AW-302544","30/06/21","4886--28/04/2017"
"16109","10186-Surin Automotive Pvt. Ltd.","Red","B06","30/08/16","CfO-Renewal","Granted","85759","28/04/17","AW-302543","AW-302543","30/06/21","4885--28/04/2017"
"15921","12206-Shri Amareshwar Stone Crusher","Orange","BGK","06/07/16","CfO-Renewal","Granted","84772","28/04/17","A-302542","A-302542","30/06/21","4884--28/04/2017"
"15716","10392-Katra Phytochem (India) Pvt.Ltd","Orange","B02","24/09/16","CfO-Renewal","Granted","86088","28/04/17","AW-302541","AW-302541","30/06/21","4883--28/04/2017"
"20664","32866-Zonta Bauer Pvt. Ltd.,","Green","B11","25/04/17","CfE-Fresh","Granted","88505","28/04/17","CTE-104048","CTE-104048","30/06/21","4882--28/04/2017"
"13650","21442-Anushree Tube Products","Red","B09","11/08/16","CfO-Expand","Granted","85638","28/04/17","AW-302540","AW-302540","30/06/21","4881--28/04/2017"
"20755","32905-Atharva Ayur Pharma Vision","Green","SHM","21/03/17","CfE-Fresh","Granted","88487","28/04/17","CTE-104047","CTE-104047","30/06/21","4880--28/04/2017"
"20905","33105-S-CUBE RESIDENCY","Green","MNG","26/04/17","CfE-Fresh","Granted","88512","28/04/17","CTE-104046","CTE-104046","30/06/21","4879--28/04/2017"
"19938","32505-M/s. Hosmat Hospital Pvt Ltd","Orange","B08","18/04/17","CfO-Fresh","Granted","88450","27/04/17","AW-302539","AW-302539","30/06/21","4878--27/04/2017"
"19931","32339-RISHI FIBC Solutions Private Limited Unit-6","Green","MY2","27/04/17","CfE-Fresh","Granted","88517","27/04/17","CTE-104045","CTE-104045","30/06/21","4877--27/04/2017"
"20429","31031-Shri Raghavendra Minerals & Industries","Red","BGK","02/03/17","CfO-Fresh","Granted","87893","27/04/17","A-302538","A-302538","30/06/21","4876--27/04/2017"
"15979","12665-Shri.Venkateshwar Stone Crushing Industries","Orange","BGK","14/07/16","CfO-Renewal","Granted","84877","27/04/17","A-302537","A-302537","30/06/21","4875--27/04/2017"
"15977","12653-Sangameshwar Stone Crusher","Orange","BGK","14/07/16","CfO-Renewal","Granted","84876","27/04/17","A-302536","A-302536","30/06/21","4874--27/04/2017"
"17328","12655-Sharanabasaveshwar Stone Crusher","Orange","BGK","17/08/16","CfO-Renewal","Granted","85481","27/04/17","A-302535","A-302535","30/06/21","4873--27/04/2017"
"20155","10248-Navnit Motors Pvt Ltd","Orange","B07","21/04/17","CfO-Renewal","Granted","88477","27/04/17","AWH-302534","AWH-302534","30/06/21","4872--27/04/2017"
"16098","12348-Shradhanand Stone Crusher","Orange","BGK","24/06/16","CfO-Renewal","Granted","84572","27/04/17","A-302533","A-302533","30/06/21","4871--27/04/2017"
"16368","12366-Vasavi Stone Crusher","Orange","BGK","03/08/16","CfO-Renewal","Granted","85261","27/04/17","A-302532","A-302532","30/06/21","4870--27/04/2017"
"16013","11751-B.T. Reddy Stone Crushing Industries","Orange","DHW","26/07/16","CfO-Renewal","Granted","85147","27/04/17","A-302531","A-302531","30/06/21","4869--27/04/2017"
"20473","32161-M\s.Avanish Motors Pvt Ltd","Orange","B05","31/03/17","CfO-Fresh","Granted","88294","27/04/17","AW-302530","AW-302530","30/06/21","4868--27/04/2017"
"17383","30539-Modern Service Centre","Orange","B05","31/03/17","CfO-Fresh","Granted","88290","27/04/17","AWH-302529","AWH-302529","30/06/21","4867--27/04/2017"
"18688","11684-Atotech India Private Limited,","Red","B01","27/12/16","CfO-Expand","Granted","87157","26/04/17","A-302528","A-302528","30/06/21","4866--26/04/2017"
"18351","28518-Aragen Life Sciences Private Limited (Formerly Gvk Bio-Science Pvt Limited)","Red","B01","06/01/17","CfO-Fresh","Granted","87275","26/04/17","AW-302527","AW-302527","30/06/21","4865--26/04/2017"
