"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"214853","22656-Ultratech Cement Limited (Unit of Birla Ready Mix)","Green","B02","14/02/24","CfO-Renewal","Granted","221265","21/02/24","AW-126462","AW-126462","31/12/38","68227--21/02/2024"
"220314","28322-Ishwari Stone Industries","Orange","GUL","20/02/24","CfO-Renewal","Granted","221502","20/02/24","AW-342021","AW-342021","30/09/33","68226--20/02/2024"
"218433","208552-Sharnbasva Ayurvedic Hospital","Orange","GUL","19/02/24","CfO-Fresh","Granted","221492","20/02/24","AW-342020","AW-342020","30/09/33","68225--20/02/2024"
"214847","12383-Imperial Auto Industries Ltd","Green","BR2","20/02/24","CfE-Expand","Granted","221494","20/02/24","CTE-126461","CTE-126461","31/12/36","68224--20/02/2024"
"219476","209604-Good Earth Eco Developments Private Limited","Green","B09","20/02/24","CfE-Fresh","Granted","221493","20/02/24","CTE-126460","CTE-126460","06/02/29","68223--20/02/2024"
"206483","166233-Tri Wall Pak Pvt Ltd","Green","B01","19/02/24","CfO-Fresh","Granted","221425","20/02/24","AW-126459","AW-126459","31/12/37","68222--20/02/2024"
"219619","209804-Sree Raghavendra Swamy Cotton Traders","Green","BLY","13/02/24","CfO-Renewal","Granted","221435","20/02/24","AW-126458","AW-126458","31/12/37","68221--20/02/2024"
"214413","105089-Cimotech Hydro Machines Pvt Ltd","Green","BR3","09/02/24","CfO-Fresh","Granted","221133","20/02/24","AW-126457","AW-126457","31/12/38","68220--20/02/2024"
"218345","208566-Saroja Enterprises","Green","UDP","20/02/24","CfE-Fresh","Granted","221481","20/02/24","CTE-126456","CTE-126456","19/02/29","68219--20/02/2024"
"213566","131218-Berry Global India Pvt Ltd","Green","TMK","20/02/24","HWM-Fresh","Granted","221487","20/02/24","126454","126454","31/12/28","68217--20/02/2024"
"219119","209388-SLV Flour Mill","Green","B09","20/02/24","CfO-Fresh","Granted","221486","20/02/24","W-126453","W-126453","31/12/38","68216--20/02/2024"
"212951","64018-Inno Hex vet Pvt Ltd.,( formerly Innovative Animal Health Care)","Orange","B06","13/02/24","CfO-Renewal","Granted","221253","20/02/24","W-342019","W-342019","30/09/33","68215--20/02/2024"
"215251","205151-Nakin Industries","Green","B02","09/02/24","CfE-Fresh","Granted","221123","20/02/24","CTE-126452","CTE-126452","08/02/29","68214--20/02/2024"
"218291","10557-Avery Dennison (I) Pvt. Ltd.,","Green","B06","20/02/24","HWM-Renewal","Granted","221478","20/02/24","126451","126451","31/12/28","68213--20/02/2024"
"217250","165459-Nirvigna Projects Pvt. Ltd.,","Green","B02","06/02/24","CfO-Fresh","Granted","220998","20/02/24","AW-126449","AW-126449","31/12/38","68211--20/02/2024"
"215855","205790-Mohanraj Charitable Trust Hospital","Orange","GUL","30/12/23","CfO-Fresh","Granted","220819","20/02/24","AW-342018","AW-342018","30/09/33","68210--20/02/2024"
"220403","210401-Sunrise Hospital","Orange","BDR","20/02/24","CfE-Fresh","Granted","221475","20/02/24","CTE-342017","CTE-342017","19/02/29","68209--20/02/2024"
