"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"44766","39955-M S R Chemicals & Fertilizers Pvt Ltd","Orange","SHM","28/11/18","CfO-Fresh","Granted","152424","19/06/19","AW-313260","AW-313260","30/09/23","21793--19/06/2019"
"92688","79732-Ssa Industries","Green","MY1","06/06/19","CfO-Renewal","Granted","164317","19/06/19","AW-110241","AW-110241","31/12/27","21792--19/06/2019"
"92727","79502-Altran Technologies India Private Limited","Green","B01","15/06/19","CfO-Fresh","Granted","164305","19/06/19","AW-110240","AW-110240","31/12/28","21791--19/06/2019"
"80762","78416-Annapoorna Industries","Orange","B05","15/06/19","CfO-Fresh","Granted","164319","19/06/19","W-313259","W-313259","30/09/28","21790--19/06/2019"
"34139","42607-Aar Kay Plastic","Orange","DHW","15/12/18","CfO-Fresh","Rejected","140364","19/06/19","AW-AW-313259Rejected","AW-AW-313259Rejected","",""
"80776","78442-K.P. Polymers","Orange","B05","25/03/19","CfO-Fresh","Granted","152558","19/06/19","W-313258","W-313258","30/09/28","21788--19/06/2019"
"93172","39972-Rainbow Childrens Medicare Ltd","Orange","B10","11/06/19","HWM-AutoRenewal","Granted","0","19/06/19","H-110239","H-110239","30/06/21","21787--19/06/2019"
"80915","78578-Sneha Clothing -Unit -Ii","Green","B05","19/06/19","CfE-Fresh","Granted","164397","19/06/19","CTE-110237","CTE-110237","31/12/23","21786--19/06/2019"
"32668","19639-K.V.G. Medical College & Hospital","Red","MNG","03/09/18","CfO-Expand","Rejected","117796","18/06/19","A-A-313258Rejected","A-A-313258Rejected","",""
"76426","18652-JSW Industrial Gases Pvt Ltd","Green","BLY","29/12/18","HWM-Renewal","Granted","152779","18/06/19","110236","110236","31/12/23","21785--18/06/2019"
