"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"92858","74641-Mylaralingeshwara Stone Crusher","Orange","BLY","03/06/19","CfO-Fresh","Granted","164065","20/07/19","AW-313868","AW-313868","30/09/19","22832--20/07/2019"
"92813","76371-Sri Basava Hospital & Research Centre","Orange","RCH","13/06/19","CfO-Renewal","Granted","164232","20/07/19","AW-313867","AW-313867","12/06/24","22831--20/07/2019"
"92200","76554-Shankara Constructions (Hot Mix Plant)","Orange","BLY","28/05/19","CfO-Fresh","Granted","164015","20/07/19","AW-313866","AW-313866","30/09/23","22830--20/07/2019"
"93253","78592-J K Specialty Hospital","Orange","BR3","03/07/19","CfO-Fresh","Granted","164766","20/07/19","AW-313865","AW-313865","30/09/28","22829--20/07/2019"
"75898","64096-Revanth Hollow Blocks & Interlocks","Green","UDP","23/11/18","CfE-Fresh","Rejected","139395","20/07/19","CTE-CTE-313847Reject","CTE-CTE-313847Reject","",""
"26681","36531-Ishwar Oil Mill","Green","DHW","11/12/17","CfE-Fresh","Rejected","151962","20/07/19","CTE-CTE-313847Reject","CTE-CTE-313847Reject","",""
"94192","75540-Sakata Seed India (P) Ltd","Green","BR2","20/07/19","CfE-Expand","Granted","165163","20/07/19","CTE-110672","CTE-110672","19/07/20","22828--20/07/2019"
"92343","79650-Al-Zassz Infrastructures Pvt. Ltd.,","Green","B08","15/07/19","CfE-Fresh","Granted","165016","20/07/19","CTE-313864","CTE-313864","17/06/24","22827--20/07/2019"
"20608","32552-Denimax","Orange","RMN","22/03/17","CfE-Fresh","Rejected","88236","20/07/19","CTE-CTE-313847Reject","CTE-CTE-313847Reject","",""
"92328","79630-Shell Promoters & Infra India Pvt Ltd","Orange","B08","17/07/19","CfO-Fresh","Granted","165052","20/07/19","W-313863","W-313863","30/09/28","22826--20/07/2019"
"94116","30737-Sri Savitri Shankar Stone Crusher( S.Deepika)","Orange","BR1","11/07/19","CfO-Expand","Granted","165010","20/07/19","A-313862","A-313862","30/06/20","22825--20/07/2019"
"94115","80357-R.K. Industries","Orange","KLR","10/07/19","CfO-Fresh","Granted","164946","20/07/19","W-313861","W-313861","30/09/28","22824--20/07/2019"
"93900","80663-DSR Infra Projects","Orange","B10","15/07/19","CfE-Fresh","Granted","165002","20/07/19","CTE-313860","CTE-313860","30/09/23","22823--20/07/2019"
"93967","80727-Aryavaridhi Projects Private Limited (Aryavaridhi Residential Project)","Green","BR1","15/07/19","CfE-Fresh","Granted","165082","20/07/19","CTE-313859","CTE-313859","30/09/23","22822--20/07/2019"
"92947","80074-M\s Ozone Urbana Infra Developers Pvt. Ltd.","Orange","BR1","05/07/19","CfO-Fresh","Granted","164908","20/07/19","AW-313858","AW-313858","30/09/28","22821--20/07/2019"
"92361","79599-Seven Hills Constructions","Orange","B10","06/07/19","CfO-Fresh","Granted","164846","20/07/19","AW-313857","AW-313857","30/09/23","22820--20/07/2019"
"31908","36744-Ms Taluk General Hospital","Orange","CKB","29/06/19","CfO-Renewal","Granted","164658","20/07/19","AW-313856","AW-313856","30/09/21","22819--20/07/2019"
"26640","33820-General Hospital","Orange","CKB","29/06/19","CfO-Renewal","Granted","164657","20/07/19","AW-313855","AW-313855","30/09/20","22818--20/07/2019"
"78707","74584-Eit Services India Private Limited","Red","B07","12/06/19","HWM-Renewal","Granted","164219","20/07/19","110671","110671","31/12/21","22817--20/07/2019"
"78305","41973-S. Star Enterprises","Orange","MY1","09/05/19","HWM-Fresh","Granted","164120","20/07/19","313854","313854","30/09/23","22816--20/07/2019"
"93777","80699-M\s. Ginni Exports","Green","BR2","20/07/19","CfE-Fresh","Granted","165152","20/07/19","CTE-110670","CTE-110670","19/07/20","22815--20/07/2019"
"78691","75696-Balaji Industries","Green","B05","20/07/19","CfO-Fresh","Granted","165160","20/07/19","W-110669","W-110669","31/12/18","22814--20/07/2019"
"92217","11951-Karthik Mineral Industries","Orange","BLY","28/05/19","CfO-Renewal","Granted","164325","20/07/19","A-313853","A-313853","30/09/23","22813--20/07/2019"
"78868","76764-Ritzee Bags India Pvt. Ltd","Green","B05","20/07/19","CfO-Fresh","Granted","165159","20/07/19","W-110668","W-110668","31/12/28","22812--20/07/2019"
"93120","80222-Mrs. Gayathri, S. P. (proposed residential apartment)","Orange","B10","06/07/19","CfE-Fresh","Granted","164845","20/07/19","CTE-313852","CTE-313852","30/09/23","22811--20/07/2019"
"91594","10139-Wipro Ge Healthcare Pvt. Ltd.,","Orange","B10","24/06/19","HWM-Amendment","Granted","164479","20/07/19","313851","313851","30/09/21","22810--20/07/2019"
"92268","74844-General Hospital","Orange","KPL","03/07/19","CfO-Fresh","Granted","164748","20/07/19","AW-313850","AW-313850","30/09/23","22809--20/07/2019"
"94112","80932-Sree Vinayaka Hallow Bricks","Green","DVG","19/07/19","CfE-Fresh","Granted","165136","20/07/19","CTE-110667","CTE-110667","18/07/22","22808--20/07/2019"
"93408","80398-Land Star Homes","Orange","B10","06/07/19","CfO-Fresh","Granted","164844","20/07/19","W-313849","W-313849","30/09/23","22807--20/07/2019"
"91909","78833-Camelot building Starmark Services LLP","Orange","B10","10/05/19","CfO-Fresh","Granted","163585","20/07/19","AW-313848","AW-313848","30/09/23","22806--20/07/2019"
"81038","28318-Honnur Stone Crusher","Orange","BLY","29/04/19","CfO-Renewal","Granted","163923","20/07/19","AW-313847","AW-313847","28/04/24","22805--20/07/2019"
"81243","78109-Mpil Steel Structures Ltd","Orange","BLY","26/04/19","CfO-Fresh","Granted","164091","20/07/19","AW-313846","AW-313846","30/09/23","22804--20/07/2019"
"79864","77201-Sri Bhramaramba Agro Industries","Orange","BLY","09/04/19","CfE-Fresh","Granted","163528","20/07/19","CTE-313845","CTE-313845","08/05/24","22803--20/07/2019"
"79199","39927-Metro Ford","Orange","BLY","06/02/19","CfO-Renewal","Granted","163193","20/07/19","AW-313844","AW-313844","30/09/22","22802--20/07/2019"
"92673","24086-Chamundi Granites","Green","RMN","19/07/19","CfO-Renewal","Granted","165115","20/07/19","W-110666","W-110666","31/12/28","22801--20/07/2019"
"94023","80835-V R Engineering Works","Green","RMN","19/07/19","CfO-Fresh","Granted","165138","20/07/19","AW-110665","AW-110665","31/12/33","22800--20/07/2019"
"93544","80552-Balaji Bag Manufacturers","Green","RMN","15/07/19","CfO-Fresh","Granted","165004","20/07/19","AW-110664","AW-110664","31/12/33","22799--20/07/2019"
"94302","80979-Jai Gurudev Industries","Green","CDG","19/07/19","CfE-Fresh","Granted","165149","19/07/19","CTE-110663","CTE-110663","18/07/24","22798--19/07/2019"
"77004","75135-Maini Precision Products Ltd","Green","B02","19/07/19","CfE-Fresh","Granted","165145","19/07/19","CTE-110661","CTE-110661","18/07/23","22796--19/07/2019"
"94419","81110-Sri. B. R. Sainath","Green","B05","19/07/19","CfO-Fresh","Granted","165147","19/07/19","AW-110662","AW-110662","31/12/33","22797--19/07/2019"
"79679","53246-Residential Apartment- By M\s Kumari Builders & Developers","Orange","B07","21/02/19","CfO-Fresh","Rejected","151824","19/07/19","AW-AW-312435Rejected","AW-AW-312435Rejected","",""
"79394","77234-M\s Hill Land Estates","Red","B08","09/05/19","CfE-Fresh","Rejected","163538","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"79706","77454-Sukhadayi Residential Layout","Orange","MY1","05/03/19","CfE-Fresh","Rejected","152620","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"79309","77161-Residential Layout By C Madan Kumar & Others","Red","TMK","28/02/19","CfE-Fresh","Rejected","151976","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"77351","75441-Land Star Homes (represented by the Mr. Uma Maheshwar Reddy)","Orange","B10","31/01/19","CfO-Fresh","Rejected","151206","19/07/19","W-W-313834Rejected","W-W-313834Rejected","",""
"77869","75854-Kirthi Construction","Orange","UDP","02/01/19","CfE-Fresh","Rejected","140437","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"76723","41636-Sindu Nagara Badavane Residential Layout","Red","KLR","24/11/18","CfE-Fresh","Rejected","139439","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"65771","63996-Commercial Development by Brigade Enterprises Limited","Orange","B10","16/11/18","CfE-Fresh","Rejected","139256","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"65467","42730-Deshpande Foundation, Dcse Building, Bvbcet Campus, Vidyanagar, Hubali - 580031","Red","DHW","20/12/18","CfO-Fresh","Rejected","151127","19/07/19","AW-AW-313834Rejected","AW-AW-313834Rejected","",""
"33315","42153-M\s. Gokul Developers,","Red","B07","16/02/19","CfE-Fresh","Rejected","151772","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"33266","41636-Sindu Nagara Badavane Residential Layout","Red","KLR","26/07/18","CfE-Fresh","Rejected","116601","19/07/19","CTE-CTE-313834Reject","CTE-CTE-313834Reject","",""
"94378","81083-Ideal Engineering","Green","KPL","19/07/19","CfO-Renewal","Granted","165141","19/07/19","AW-110652","AW-110652","31/12/28","22787--19/07/2019"
"94037","80882-Ar Plastics","Green","B06","18/07/19","CfO-Fresh","Granted","165093","19/07/19","AW-110650","AW-110650","31/12/33","22785--19/07/2019"
"92971","38452-Nagson And Company","Green","B11","19/07/19","CfO-Fresh","Granted","165132","19/07/19","AW-110651","AW-110651","31/12/33","22786--19/07/2019"
"94453","53071-Gopalan Innovation Project","Orange","B05","18/07/19","HWM-AutoRenewal","Granted","0","19/07/19","H-110649","H-110649","19/07/24","22783--19/07/2019"
"77750","75830-Aditi Precision Technology","Green","B11","19/07/19","CfO-Fresh","Granted","165122","19/07/19","W-110647","W-110647","31/12/33","22782--19/07/2019"
"94241","80312-M/s Sri Shivashakti M-Sand Industries","Orange","MY2","16/07/19","CfO-Fresh","Granted","165058","19/07/19","A-313843","A-313843","30/09/19","22780--19/07/2019"
"91934","78363-Mr. George Samson (Gpa Holder)","Orange","MY1","13/06/19","CfE-Fresh","Granted","164945","19/07/19","CTE-313842","CTE-313842","12/06/24","22779--19/07/2019"
"92511","79788-Hattilakkamma Enterprises","Orange","HAS","24/05/19","CfE-Fresh","Granted","164715","19/07/19","CTE-313841","CTE-313841","23/05/24","22778--19/07/2019"
"92018","12046-K.S.R.T.C Depot, Gundlupet","Orange","CMR","27/05/19","CfO-Renewal","Granted","164974","19/07/19","AW-313840","AW-313840","30/09/23","22777--19/07/2019"
"92012","12043-K.S.R.T.C Depot, Chamarajanagara","Orange","CMR","11/07/19","CfO-Renewal","Granted","164978","19/07/19","AW-313839","AW-313839","30/09/23","22776--19/07/2019"
"92011","12042-K.S.R.T.C Depot , Kollegala","Orange","CMR","11/07/19","CfO-Renewal","Granted","164976","19/07/19","AW-313838","AW-313838","30/09/23","22775--19/07/2019"
"77022","63907-Sree Mookambika Plastic Industries","Orange","SHM","21/12/18","CfO-Fresh","Granted","140784","19/07/19","A-313834","A-313834","30/09/21","22771--19/07/2019"
"30286","21729-Chathur Realtors Private Limited","Orange","B10","10/04/18","HWM-AutoRenewal","Granted","0","19/07/19","H-110646","H-110646","19/07/24","22770--19/07/2019"
"79430","10708-Bharath Earth Movers Ltd(Engine Division),","Red","MY2","09/05/19","HWM-Renewal","Granted","163544","19/07/19","313832","313832","30/06/21","22768--19/07/2019"
"93335","80146-Sri Sai Service Station","Orange","B05","18/07/19","CfO-Fresh","Granted","165081","19/07/19","A-313830","A-313830","30/09/28","22766--19/07/2019"
"93221","80145-Lakshmi Narasimhaswamy Residential Apartment represented by K.Lakappa","Orange","B03","05/07/19","CfO-Fresh","Granted","164807","19/07/19","W-313825","W-313825","30/09/28",""
"80057","12387-Mach Aero Components Pvt Ltd","Red","BR2","23/03/19","HWM-Renewal","Granted","152519","19/07/19","313822","313822","30/06/21","22758--19/07/2019"
"92132","79284-Sri Sathyasai Stone Crusher","Orange","MDY","08/05/19","CfE-Fresh","Granted","164721","19/07/19","CTE-313820","CTE-313820","07/05/24","22756--19/07/2019"
"81176","42251-Sri Hanumappa","Orange","HAS","14/05/19","CfO-Expand","Granted","164716","19/07/19","A-313817","A-313817","30/09/23","22753--19/07/2019"
"79617","77294-R P N Stone Crusher And M-Sand","Orange","MDY","12/02/19","CfO-Renewal","Granted","152178","19/07/19","A-313816","A-313816","30/09/19","22752--19/07/2019"
"79240","77080-Padmaja Stone Crusher","Orange","MDY","30/01/19","CfO-Fresh","Granted","151164","19/07/19","A-313815","A-313815","30/09/19","22751--19/07/2019"
"78981","76673-Sri Dhanalakshmi Stone Crushers","Orange","MDY","12/02/19","CfO-Fresh","Granted","152223","19/07/19","A-313814","A-313814","30/09/19","22750--19/07/2019"
"92703","77922-M\s. Victory Food Chem India","Green","B05","18/07/19","CfO-Fresh","Granted","165111","18/07/19","W-110644","W-110644","31/12/18","22749--18/07/2019"
"93534","76646-Siri Concrete","Green","B08","17/07/19","CfO-Fresh","Granted","165059","18/07/19","AW-110643","AW-110643","16/07/29","22747--18/07/2019"
"91765","74211-S.K. Accumulators","Red","KLR","27/04/19","CfE-Change Product.Mix","Granted","163367","18/07/19","CTE-313813","CTE-313813","30/06/22","22748--18/07/2019"
"93229","80241-C Prabhakar Reddy","Green","B07","01/07/19","CfO-Fresh","Granted","164709","18/07/19","AW-313811","AW-313811","30/09/23","22745--18/07/2019"
"94079","80645-Sri Manjunatha Industries","Green","BR2","18/07/19","CfE-Fresh","Granted","165103","18/07/19","CTE-110642","CTE-110642","17/07/20","22741--18/07/2019"
"45266","18910-Yenepoya University Medical College & Hospital","Red","MNG","28/12/18","HWM-Renewal","Granted","140317","18/07/19","313804","313804","30/06/22","22736--18/07/2019"
"77009","15135-Suprajith Engineering Ltd","Green","BR2","17/07/19","HWM-Renewal","Granted","165102","18/07/19","110640","110640","31/12/23","22735--18/07/2019"
"94142","80899-S. A. Nashipudi Cold Storage","Green","HVR","15/07/19","CfE-Fresh","Granted","165096","18/07/19","CTE-110639","CTE-110639","17/07/24","22734--18/07/2019"
"76825","74954-M\s D.P Enterprises","Green","UDP","18/07/19","CfO-Fresh","Granted","165098","18/07/19","AW-110638","AW-110638","17/07/18","22733--18/07/2019"
"77707","11557-Suprajith Automotive Private Ltd","Green","BR2","17/07/19","HWM-Renewal","Granted","165091","18/07/19","110637","110637","16/07/24","22732--18/07/2019"
"80399","78088-Minchinaloka Enterprises","Green","BR2","15/07/19","CfE-Fresh","Granted","165041","18/07/19","CTE-110634","CTE-110634","14/07/20","22729--18/07/2019"
"92412","77816-Metal Sculptures","Green","UDP","18/07/19","CfE-Fresh","Granted","165094","18/07/19","CTE-110633","CTE-110633","17/07/24","22728--18/07/2019"
"80295","17099-Prime Tech Accumulators Pvt Ltd","Red","B04","09/04/19","CfO-Renewal","Granted","163052","18/07/19","AW-313803","AW-313803","30/06/22","22726--18/07/2019"
"81125","19208-Advaith Motors Pvt Ltd","Orange","B07","12/06/19","HWM-Fresh","Granted","164218","18/07/19","313802","313802","30/09/21","22725--18/07/2019"
"16910","27236-Yenepoya University","Red","MNG","12/08/16","CfE-Expand","Rejected","85829","18/07/19","CTE-CTE-313761Reject","CTE-CTE-313761Reject","",""
"92594","79659-Ms.Durga Saffron Square Owners Welfare Association","Green","B07","19/06/19","CfO-Fresh","Granted","164411","18/07/19","W-313801","W-313801","30/09/23","22724--18/07/2019"
"80172","77592-Dinesh Plastic Industries","Green","B05","18/07/19","CfO-Fresh","Granted","165077","18/07/19","W-110631","W-110631","31/12/33","22723--18/07/2019"
"94176","80992-Balu Enterprises","Green","GDG","18/07/19","CfO-Fresh","Granted","165078","18/07/19","W-110630","W-110630","31/12/28","22722--18/07/2019"
"91768","78983-Shri Tulja Bhavani Stone Crusher","Orange","BLY","06/05/19","CfE-Fresh","Granted","163871","17/07/19","CTE-313800","CTE-313800","05/05/24","22719--17/07/2019"
"91801","10933-Sri Shirdi Sai Industries","Orange","BLY","29/04/19","CfO-Renewal","Granted","163943","17/07/19","A-313799","A-313799","30/09/23","22718--17/07/2019"
