"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"210634","102825-Arsta Eco Pvt Ltd","Green","TMK","16/10/23","CfO-Fresh","Granted","218726","06/11/23","AW-125216","AW-125216","31/12/37","65431--06/11/2023"
"129597","29716-Ms Copprrod Industries Pvt Ltd","Red","TMK","23/11/22","CfO-Renewal","Granted","210490","06/11/23","AW-340531","AW-340531","30/06/26","65429--06/11/2023"
"211247","41282-M.M.S Stone Crusher","Orange","CKM","17/10/23","CfO-Renewal","Granted","218816","06/11/23","AW-340530","AW-340530","30/09/33","65428--06/11/2023"
"211250","64091-Brunda Stone Crusher and M-Sand","Orange","CKM","17/10/23","CfO-Renewal","Granted","218815","06/11/23","AW-340529","AW-340529","30/09/33","65427--06/11/2023"
"207996","100326-M/s. Micro Plastics Pvt Ltd., Unit-V","Red","RMN","03/10/23","CfO-Expand","Granted","218066","06/11/23","AW-340528","AW-340528","30/06/28","65426--06/11/2023"
"193407","42211-Ms. Dsr Infrastructure Pvt. Ltd","Red","B08","14/07/23","CfO-Fresh","Granted","216288","06/11/23","AW-340527","AW-340527","30/06/28","65425--06/11/2023"
"177011","21885-Sri Laxmi Cashew Industries","Orange","UDP","03/11/23","CfO-Renewal","Granted","218841","06/11/23","AW-340526","AW-340526","30/09/32","65424--06/11/2023"
"206218","10891-Dharwad Co-Operative Milk Union Ltd., (Kmf)","Red","DHW","05/08/23","CfE-Expand","Granted","217391","06/11/23","CTE-340525","CTE-340525","05/11/28","65423--06/11/2023"
"212456","180682-Ms Clinical Research Private Limited","Green","B03","06/11/23","CfO-Fresh","Granted","218889","06/11/23","AW-125214","AW-125214","31/12/37","65422--06/11/2023"
"177137","100640-Nexus South Mall Management Private Limited, Nexus Koramangala","Red","B05","01/04/23","CfO-Renewal","Granted","214064","06/11/23","AW-340524","AW-340524","30/06/27","65421--06/11/2023"
"211549","181082-Shishir Enterprises","Orange","TMK","11/10/23","CfE-Fresh","Granted","218728","06/11/23","CTE-340523","CTE-340523","10/10/28","65420--06/11/2023"
"211127","180823-Virtue Infracon","Green","B10","06/11/23","CfE-Fresh","Granted","218885","06/11/23","CTE-125213","CTE-125213","25/10/28","65419--06/11/2023"
"212618","182390-Nisha Pipes","Green","CKB","06/11/23","CfE-Fresh","Granted","218887","06/11/23","CTE-125212","CTE-125212","05/11/28","65418--06/11/2023"
"208064","165311-Tann Utility Services Private Limited","Green","B10","06/11/23","CfO-Fresh","Granted","218882","06/11/23","AW-125210","AW-125210","31/12/37","65415--06/11/2023"
"208696","178397-Suraksha Maternity And General Hospital","Orange","GUL","29/08/23","CfO-Fresh","Rejected","218096","06/11/23","AW-AW-124932Rejected","AW-AW-124932Rejected","","65417--06/11/2023"
"210380","165578-Halamanee Aerospace Pvt Ltd","Green","B06","06/11/23","CfO-Fresh","Granted","218884","06/11/23","AW-125211","AW-125211","31/12/38","65416--06/11/2023"
"191779","151517-Riteway And Kubera Promoters","Red","B09","03/06/23","CfE-Fresh","Granted","215234","06/11/23","CTE-340522","CTE-340522","05/11/28","65414--06/11/2023"
"210937","150126-Nash Industries","Green","BR3","20/10/23","CfO-Fresh","Granted","218605","06/11/23","AW-125209","AW-125209","31/12/37","65411--06/11/2023"
"207200","166807-M/s. Balan Engineering Pvt Ltd.","Red","BGK","29/09/23","CfE-Fresh","Granted","217970","06/11/23","CTE-340521","CTE-340521","05/11/28","65413--06/11/2023"
"211209","36569-Divisional Work Shop Yadgir","Orange","YDG","07/10/23","CfO-Renewal","Granted","218591","06/11/23","AW-340520","AW-340520","30/09/32","65412--06/11/2023"
"211007","167135-M/s. R And M India Pvt Ltd","Green","B08","06/11/23","CfE-Fresh","Granted","218881","06/11/23","CTE-125208","CTE-125208","05/11/28","65408--06/11/2023"
"206421","10489-Ms. Indian Oil Corporation Ltd.","Red","GUL","16/08/23","CfE-Expand","Granted","217369","06/11/23","CTE-340519","CTE-340519","05/11/28","65410--06/11/2023"
"194403","152980-Vrl Media Private Limited","Orange","GUL","24/08/23","CfO-Renewal","Granted","218258","06/11/23","AW-340518","AW-340518","30/09/32","65409--06/11/2023"
"211347","181027-Attar Fullers Earth","Orange","GUL","07/10/23","CfO-Fresh","Granted","218363","06/11/23","AW-340517","AW-340517","30/09/33","65407--06/11/2023"
"211346","181026-Sri Koranjeshwari Minerals And Suppliers","Orange","GUL","07/10/23","CfO-Fresh","Granted","218362","06/11/23","AW-340516","AW-340516","30/09/33","65406--06/11/2023"
"211501","181167-Channaratna Minerals","Orange","GUL","10/10/23","CfO-Fresh","Granted","218360","06/11/23","AW-340515","AW-340515","30/09/33","65405--06/11/2023"
"211345","181025-Shakti Clay Tech","Orange","GUL","07/10/23","CfO-Fresh","Granted","218359","06/11/23","AW-340514","AW-340514","30/09/33","65404--06/11/2023"
"206009","12564-M/s. Shakunt Enterprises Pvt. Ltd.","Red","DHW","24/07/23","CfE-Expand","Granted","216720","06/11/23","CTE-340513","CTE-340513","05/11/28","65403--06/11/2023"
"172998","38938-Suguna Foods Pvt Ltd.,","Orange","DHW","16/08/23","CfO-Renewal","Granted","218269","06/11/23","AW-340512","AW-340512","30/09/32","65402--06/11/2023"
"194529","31081-M/s. Nandini Milk Product Complex","Red","RMN","16/08/23","CfO-Renewal","Granted","217012","06/11/23","AW-340511","AW-340511","30/06/28","65401--06/11/2023"
"205113","106357-Decker Devices Pvt. Ltd. Tumakuru","Orange","TMK","06/09/23","CfO-Fresh","Granted","218838","06/11/23","AWH-340510","AWH-340510","30/09/32","65400--06/11/2023"
"211484","181166-Divinitee Genesis Apparel Private Limited- Unit-II","Green","B07","12/10/23","CfO-Fresh","Granted","218369","06/11/23","AW-125207","AW-125207","31/12/37","65398--06/11/2023"
"211436","181119-Divya Jyothi Royal Heights Apartments Owners Welfare Association","Green","B07","31/10/23","CfO-Renewal","Granted","218736","06/11/23","W-125206","W-125206","31/12/37","65397--06/11/2023"
"194910","24294-Dic India Limited","Red","B02","31/07/23","CfE-Expand","Granted","216642","06/11/23","CTE-340508","CTE-340508","05/11/28","65396--06/11/2023"
"193522","153918-Urban Excellence Llp","Red","B10","03/07/23","CfE-Fresh","Granted","216036","06/11/23","CTE-340507","CTE-340507","22/06/33","65395--06/11/2023"
"192036","10728-Tractors & Farm Equipment Limited","Red","BR2","17/06/23","CfO-Renewal","Granted","216499","06/11/23","AW-340506","AW-340506","30/06/28","65394--06/11/2023"
"194588","15763-Indian Oil Corporation Ltd.,","Red","B03","24/08/23","CfO-Renewal","Granted","217275","06/11/23","AW-340505","AW-340505","30/06/28","65393--06/11/2023"
"194234","134997-Allcargo Logistics Limited","Red","KLR","13/06/23","CfO-Expand","Granted","215466","06/11/23","AW-340504","AW-340504","30/06/28","65392--06/11/2023"
"205098","10672-Veolia Water Technologies & Solutions India Pvt Ltd, No.53-C HSK INDL Area & Tq","Red","BR1","04/07/23","CfE-Expand","Granted","217264","06/11/23","CTE-340503","CTE-340503","05/11/28","65391--06/11/2023"
"193980","41109-Zumutor Biologics Pvt Ltd","Red","B04","14/07/23","CfO-Renewal","Granted","217298","06/11/23","AW-340502","AW-340502","30/06/28","65390--06/11/2023"
"172971","135118-Northernsky Properties Private Limited Residential Apartment","Red","MNG","17/12/22","CfE-Fresh","Granted","210894","06/11/23","CTE-340501","CTE-340501","02/11/32","65389--06/11/2023"
"194433","31444-Al-Jalil Exports","Red","MDY","14/06/23","CfO-Renewal","Granted","215626","06/11/23","AW-340500","AW-340500","30/06/28","65388--06/11/2023"
"154316","98923-Maridi Bio Industries Private Limited","Red","RMN","19/01/23","CfO-Fresh","Granted","211858","06/11/23","AW-340499","AW-340499","30/06/26","65387--06/11/2023"
"207794","19736-Prakash Motors","Orange","DVG","20/10/23","CfO-Renewal","Granted","218585","06/11/23","AWH-340498","AWH-340498","30/09/32","65386--06/11/2023"
"193650","27765-Ms. Asian Paints Limited","Red","MY2","13/07/23","CfO-Renewal","Granted","217570","06/11/23","AW-340497","AW-340497","30/06/28","65385--06/11/2023"
"164828","130546-Flute Pack","Green","B01","06/11/23","CfO-Renewal","Granted","218877","06/11/23","AW-125205","AW-125205","31/12/35","65384--06/11/2023"
"194534","10051-J K Cement Ltd, (Cement Plant)","Red","BGK","03/07/23","CfO-Expand","Granted","216005","06/11/23","AW-340496","AW-340496","30/06/26","65382--06/11/2023"
