"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"16733","30381-Neha Mini Rice Mill","Green","BLY","19/07/16","CfO-Fresh","Granted","84951","20/07/16","A-102763","A-102763","31/12/25","1671--20/07/2016"
"14353","28544-Spectronic Plating Pvt Ltd,Plot No. 108, Sy. No. 101 to 107, Unachur Village,","Red","B08","21/05/16","CfE-Fresh","Granted","83973","20/07/16","CTE-300615","CTE-300615","30/06/21","1670--20/07/2016"
"16696","30318-Raj Mohammed Bricks","Green","RCH","19/07/16","CfE-Fresh","Granted","84938","20/07/16","CTE-102762","CTE-102762","18/07/18","1669--20/07/2016"
"16229","29659-Sri Guru Karibasajjayya Hot Mix Plant.","Orange","CDG","28/06/16","CfE-Fresh","Granted","84634","20/07/16","CTE-300614","CTE-300614","27/06/21","1668--20/07/2016"
"16636","29733-Shiva & Shiva Orthopedic Hospital Pvt. Ltd., ( Sparsh Hospital)","Orange","B04","12/07/16","CfO-Renewal","Granted","84826","19/07/16","AW-300613","AW-300613","30/09/20","1667--19/07/2016"
"16450","30174-Haigreeva Infratech Projects Ltd.,","Green","DVG","13/07/16","CfE-Fresh","Granted","84845","19/07/16","CTE-102761","CTE-102761","12/07/18","1666--19/07/2016"
"16193","12617-Aditya Birla Fashion and Retail Ltd","Green","B08","01/07/16","CfE-Expand","Granted","84693","19/07/16","CTE-102760","CTE-102760","31/12/17","1665--19/07/2016"
"16734","29834-A.N.P. Brick Industries","Green","HAS","19/07/16","CfO-Fresh","Granted","84917","19/07/16","W-102759","W-102759","31/12/15","1664--19/07/2016"
"16282","29833-Shail Granites Pvt Ltd.,","Green","HAS","19/07/16","CfO-Renewal","Granted","84921","19/07/16","W-102758","W-102758","31/12/15","1663--19/07/2016"
"15677","29428-Mark Conmix Private Limited","Green","B10","13/07/16","CfE-Fresh","Granted","84923","19/07/16","CTE-102757","CTE-102757","12/07/21","1662--19/07/2016"
"15438","11384-Ashirvad Pipes Pvt Limited,","Red","B01","19/07/16","CfO-Expand","Granted","84920","19/07/16","AW-102756","AW-102756","31/12/21","1661--19/07/2016"
"15880","29717-Avs Tech Building Solutions India Private Limited","Green","B01","18/07/16","CfE-Fresh","Granted","84882","19/07/16","CTE-102755","CTE-102755","17/07/21","1660--19/07/2016"
"15850","26114-The Banhatti Co-Operative Spinning Mill Ltd","Orange","BGK","04/07/16","CfO-Renewal","Granted","84742","19/07/16","AW-300612","AW-300612","03/07/21","1659--19/07/2016"
"15923","29753-Silver Link Design","Orange","B05","01/07/16","CfO-Fresh","Granted","84699","19/07/16","W-300611","W-300611","30/09/20","1658--19/07/2016"
"14930","26203-Orione Hydraulics Pvt Ltd.,","Green","BE1","18/07/16","CfO-Fresh","Granted","84896","19/07/16","AW-102754","AW-102754","31/12/25","1657--19/07/2016"
"15841","29460-Convenience Foods India","Orange","B05","01/07/16","CfO-Fresh","Granted","84700","19/07/16","AW-300610","AW-300610","30/09/20","1656--19/07/2016"
"16179","11415-Healthium Medtech Limited","Orange","TMK","27/06/16","CfO-Renewal","Granted","84610","19/07/16","AW-300609","AW-300609","30/09/20","1655--19/07/2016"
"16065","29584-Mahalasa Industries","Green","UDP","18/07/16","CfO-Fresh","Granted","84883","18/07/16","AW-102753","AW-102753","31/12/25","1654--18/07/2016"
"16709","28641-Abhinandan Buildcon Ventures Pvt Ltd","Green","UDP","18/07/16","CfE-Fresh","Granted","84885","18/07/16","CTE-102752","CTE-102752","17/07/21","1653--18/07/2016"
"15308","29193-Sri Balaji Industries","Orange","HAS","10/06/16","CfO-Fresh","Granted","84336","14/07/16","AW-300608","AW-300608","30/09/21","1652--14/07/2016"
"15241","29134-Annapoorneswari Enterprises","Orange","KLR","30/06/16","CfO-Fresh","Granted","84681","14/07/16","AW-300607","AW-300607","30/09/17","1651--14/07/2016"
"16336","27564-NASH INDUSTRIES (I) PRIVATE LIMITED","Green","BR3","13/07/16","CfO-Fresh","Granted","84858","14/07/16","AW-102751","AW-102751","31/12/25","1650--14/07/2016"
