"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"98031","32518-John Distilleries Pvt Ltd","Orange","B09","20/11/19","HWM-AutoRenewal","Granted","0","06/01/20","H-112202","H-112202","30/06/21","27282--06/01/2020"
"98410","84291-M/s. Schneider Electric India Private Limited .( ware house)","Green","MY1","30/12/19","CfE-Fresh","Granted","168503","06/01/20","CTE-112200","CTE-112200","31/12/24","27281--06/01/2020"
"20452","12881-Naval Base, Phase-I,Karwar","Red","KWR","31/10/18","CfO-Renewal","Granted","138928","06/01/20","AW-316584","AW-316584","30/06/20","27280--06/01/2020"
"97605","42906-M\s N. Ranga Rao & Sons","Green","MY1","25/11/19","CfO-Renewal","Granted","168391","06/01/20","AW-112199","AW-112199","31/12/28","27279--06/01/2020"
"23570","27477-Baliga Fishnets, Unit Ii","Red","UDP","15/11/18","CfE-Expand","Rejected","164468","06/01/20","CTE-CTE-316572Reject","CTE-CTE-316572Reject","","27278--06/01/2020"
"99187","84482-Vinoda .H. Shetty","Green","B05","06/01/20","CfO-Fresh","Granted","168606","06/01/20","AW-112198","AW-112198","31/12/34","27277--06/01/2020"
"17607","30915-Roshan Enterprises - Unit-2","Green","B01","05/09/19","CfO-Fresh","Rejected","166295","06/01/20","AW-AW-112065Rejected","AW-AW-112065Rejected","","27276--06/01/2020"
"96673","82849-Shree Mv Granites","Green","B06","02/01/20","CfO-Renewal","Granted","168541","06/01/20","W-112197","W-112197","31/12/32","27275--06/01/2020"
"15636","29452-Nv Trading Company","Red","B01","20/06/16","CfO-Fresh","Rejected","84476","06/01/20","AW-AW-112166Rejected","AW-AW-112166Rejected","","27274--06/01/2020"
"97755","83638-Rc Granites","Green","B06","02/01/20","CfO-Renewal","Granted","168540","06/01/20","W-112196","W-112196","31/12/32","27273--06/01/2020"
"97646","83553-Sri Balaji Granites","Green","B06","02/01/20","CfO-Fresh","Granted","168537","06/01/20","W-112195","W-112195","31/12/32","27272--06/01/2020"
"97648","83552-Shree Srinivasa Granites","Green","B06","02/01/20","CfO-Fresh","Granted","168536","06/01/20","W-112194","W-112194","31/12/32","27271--06/01/2020"
"97382","83387-Time Temp India","Green","B06","02/01/20","CfO-Fresh","Granted","168548","06/01/20","W-112193","W-112193","31/12/31","27270--06/01/2020"
"98623","13605-State Street Services India Pvt.,Ltd.,","Green","B03","12/12/19","HWM-AutoRenewal","Granted","0","06/01/20","H-112193","H-112193","31/12/25","27269--06/01/2020"
"99211","10404-M/s. Hothur Ispat Pvt. Ltd.","Red","BLY","31/12/19","HWM-AutoRenewal","Granted","0","06/01/20","H-112192","H-112192","30/06/21","27268--06/01/2020"
"99099","84888-M\s. Sunrise Developers [residential Apartment]","Green","B09","03/01/20","CfE-Fresh","Granted","168564","06/01/20","CTE-316583","CTE-316583","02/01/22","27267--06/01/2020"
"97286","75930-Shapoorji Pallanji Co Pvt Ltd ,Sy. No. 221 & 219 Of Arga Village, Karwar Taluka,","Green","KWR","06/01/20","CfO-Fresh","Granted","168602","06/01/20","AW-112190","AW-112190","31/12/33","27266--06/01/2020"
"98275","82888-Sahney Commutators Pvt. Ltd.,","Green","B02","04/01/20","CfO-Renewal","Granted","168584","06/01/20","AW-112189","AW-112189","31/12/34","27265--06/01/2020"
"99267","80042-Wali Mining Works","Orange","BJR","03/01/20","CfO-Renewal","Granted","168569","04/01/20","AW-316582","AW-316582","30/04/20","27263--04/01/2020"
"99285","84718-P.R.C. Stones","Orange","BJR","03/01/20","CfE-Fresh","Granted","168567","04/01/20","CTE-316581","CTE-316581","02/01/25","27262--04/01/2020"
"99296","84716-Matoshree Stone Crusher","Orange","BJR","03/01/20","CfE-Fresh","Granted","168568","04/01/20","CTE-316580","CTE-316580","02/01/25","27261--04/01/2020"
"97406","40916-M\s, Chennabasava Stone Crusher","Orange","BE1","04/01/20","CfO-Renewal","Granted","168594","04/01/20","A-316579","A-316579","30/09/20","27260--04/01/2020"
"98824","82364-Kimberlite Chemicals India Pvt. Ltd.","Orange","BR2","02/01/20","CfE-Fresh","Granted","168539","04/01/20","CTE-316578","CTE-316578","01/01/25","27259--04/01/2020"
"30536","39968-Ms.Ever Blue Apparel Limited-Unit-2","Green","BR2","04/01/20","CfE-Fresh","Granted","168591","04/01/20","CTE-112187","CTE-112187","03/01/25","27258--04/01/2020"
"98847","10466-Ms. Schloss Bangalore Private Limited (Previously known as Ms. The Leela Palac","Red","B03","19/12/19","HWM-AutoRenewal","Granted","0","04/01/20","H-112187","H-112187","30/06/21","27257--04/01/2020"
"95402","40679-Amazon Seller Services Private Limited","Orange","B01","18/12/19","HWM-Fresh","Granted","168269","04/01/20","316577","316577","30/09/23","27256--04/01/2020"
"97041","11255-THG PUBLISHING PRIVATE LIMITED","Orange","B01","17/12/19","HWM-Renewal","Granted","168242","04/01/20","316576","316576","30/09/22","27255--04/01/2020"
"98526","84167-Medivin India Pharma Lab","Orange","B09","18/12/19","CfO-Fresh","Granted","168563","04/01/20","W-316575","W-316575","30/09/29","27254--04/01/2020"
"98587","84511-Advaith Motors Private Limited,(Akshaya Motors) Plot No.35,Hubballi - Dharwad Ro","Orange","DHW","23/12/19","CfO-Fresh","Granted","168397","04/01/20","AW-316574","AW-316574","30/09/28","27253--04/01/2020"
"98367","84001-Nectar Wineyard Pvt Ltd","Orange","BE2","19/12/19","CfO-Renewal","Granted","168322","04/01/20","AW-316573","AW-316573","30/09/20","27252--04/01/2020"
"99052","84223-M/s. Devaki Anant Residency","Green","KWR","03/01/20","CfE-Fresh","Granted","168570","04/01/20","CTE-112185","CTE-112185","31/12/22","27251--04/01/2020"
"97891","83756-Taapasi Projects","Red","BR1","21/11/19","CfE-Fresh","Granted","167957","04/01/20","CTE-316572","CTE-316572","03/01/24","27250--04/01/2020"
"98579","83418-M\s. King Scrap Materials Enterprises","Orange","BE1","31/12/19","CfO-Fresh","Granted","168510","04/01/20","W-316571","W-316571","30/09/29","27249--04/01/2020"
"98932","84708-The Kanaka Community Hall (Samudaya Bhavan)","Green","SHM","04/01/20","CfE-Fresh","Granted","168579","04/01/20","CTE-112184","CTE-112184","03/01/25","27248--04/01/2020"
"98247","14506-Venkateshwar Stone Crusher","Orange","BE1","02/12/19","CfO-Renewal","Granted","168021","04/01/20","A-316570","A-316570","30/09/20","27247--04/01/2020"
"98087","80726-Biradar Constructions","Orange","BE2","12/12/19","CfO-Renewal","Granted","168185","04/01/20","AW-316569","AW-316569","30/09/28","27246--04/01/2020"
"97841","75821-Tarade Brothers Construction Pvt Ltd.,","Orange","BE2","12/12/19","CfO-Renewal","Granted","168186","04/01/20","A-316567","A-316567","30/09/29","27244--04/01/2020"
"96205","82476-M\s. Royal Enterprises","Orange","B09","03/01/20","CfO-Renewal","Granted","168562","04/01/20","W-316568","W-316568","30/09/28","27245--04/01/2020"
"97125","76611-Varji M-Sand Infra","Orange","BE2","11/11/19","CfO-Renewal","Granted","167659","04/01/20","AW-316566","AW-316566","30/09/29","27243--04/01/2020"
"97995","83821-Cnc Die Castings","Orange","B07","12/12/19","CfO-Fresh","Granted","168275","04/01/20","AW-316565","AW-316565","30/09/27","27242--04/01/2020"
"97984","83808-Icon Infra Shelters India Pvt. Ltd.,","Orange","B02","31/12/19","CfE-Fresh","Granted","168502","04/01/20","CTE-316564","CTE-316564","30/12/24","27241--04/01/2020"
"97642","82729-Sadashiv V. Deshinge & Others","Red","BE2","22/11/19","CfE-Fresh","Granted","167862","04/01/20","CTE-316563","CTE-316563","03/01/24","27238--04/01/2020"
"97193","83287-J K Granites","Green","HAS","25/10/19","CfO-Fresh","Granted","168121","04/01/20","A-112181","A-112181","31/12/34","27237--04/01/2020"
"96718","15401-Damodar Industries","Orange","KWR","25/11/19","CfO-Renewal","Granted","168509","04/01/20","AW-316553","AW-316553","30/09/28","27224--04/01/2020"
"99346","80920-Maris Spinners Ltd","Orange","MY2","04/01/20","HWM-AutoRenewal","Granted","0","04/01/20","H-112178","H-112178","04/01/25","27223--04/01/2020"
"97838","21487-G.M.Mars Crusher (Sri Ramaswamy, Partner)","Orange","B09","27/12/19","CfE-Expand","Rejected","168452","03/01/20","CTE-CTE-CTE-112128Re","CTE-CTE-CTE-112128Re","","27222--03/01/2020"
"96653","82693-Classic Packaging (Unit Ii)","Orange","B01","20/12/19","CfO-Renewal","Rejected","168434","03/01/20","AW-AW-112166Rejected","AW-AW-112166Rejected","","27220--03/01/2020"
"97879","83731-Jai Bharathi Constructions","Green","B10","07/12/19","CfE-Fresh","Granted","168083","03/01/20","CTE-316552","CTE-316552","06/12/24","27219--03/01/2020"
"98631","84319-Geeta Ice Factory","Green","BLY","21/12/19","CfO-Fresh","Granted","168505","03/01/20","AW-112176","AW-112176","31/12/33","27218--03/01/2020"
"96413","14076-Vasthra Care","Orange","B09","03/01/20","CfO-Renewal","Granted","168565","03/01/20","AW-316551","AW-316551","30/09/28","27217--03/01/2020"
"99047","84799-Arf Shotblasting","Green","BE1","03/01/20","CfE-Fresh","Granted","168566","03/01/20","CTE-112175","CTE-112175","02/01/19","27216--03/01/2020"
"96304","26868-Sansera Engineering Limited","Red","RMN","02/12/19","CfE-Expand","Granted","168271","03/01/20","CTE-316550","CTE-316550","30/09/22","27214--03/01/2020"
"97961","82171-Residential Apartment By Saranya Properties Private Limited","Orange","B10","02/01/20","CfO-Fresh","Rejected","168532","03/01/20","W-W-112166Rejected","W-W-112166Rejected","","27213--03/01/2020"
"98779","78703-Manjunath Hiremath Stone Crusher And M-Sand","Orange","BLY","24/12/19","CfO-Renewal","Granted","168478","03/01/20","AW-316549","AW-316549","30/09/29","27212--03/01/2020"
"98364","84109-Sri Lakshmi Sheshachala Agro Tech","Orange","KPL","13/12/19","CfE-Fresh","Granted","168206","03/01/20","CTE-316548","CTE-316548","12/12/24","27211--03/01/2020"
"97624","83534-Excel Stone Developers","Orange","B10","08/11/19","CfE-Fresh","Granted","167653","03/01/20","CTE-316547","CTE-316547","07/11/24","27210--03/01/2020"
"98667","33485-Rohini Concrete Products","Green","CKM","03/01/20","CfO-Fresh","Granted","168561","03/01/20","AW-112173","AW-112173","02/01/19","27208--03/01/2020"
"96618","79278-A R M Motors Llp","Orange","MNG","27/11/19","CfE-Fresh","Granted","167933","03/01/20","CTE-316546","CTE-316546","02/01/24","27209--03/01/2020"
"96574","82454-Poonam Swarna Nikethan","Green","MNG","13/11/19","CfE-Fresh","Granted","167729","03/01/20","CTE-316545","CTE-316545","02/01/24","27207--03/01/2020"
"95378","79336-Srinidhi Ramdev Residency","Orange","MNG","16/10/19","CfE-Fresh","Granted","167046","03/01/20","CTE-316544","CTE-316544","02/01/24","27206--03/01/2020"
"93663","29007-Hotel Bms Private Limited","Orange","MNG","01/08/19","CfO-Re Apply","Granted","165464","03/01/20","AW-316543","AW-316543","30/09/20","27205--03/01/2020"
"91504","78056-Murnad Coffee Hullers","Green","CRG","30/12/19","CfE-Fresh","Rejected","168558","03/01/20","CTE-Rejected","CTE-Rejected","","27204--03/01/2020"
"93719","80672-Bren Unity Apartment Owners Association","Red","B10","16/10/19","CfO-Renewal","Granted","167029","03/01/20","AW-316542","AW-316542","30/06/24","27203--03/01/2020"
