"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"126312","105466-Yuken India Limited","Orange","B11","26/08/21","CfE-Fresh","Granted","189705","27/08/21","CTE-326464","CTE-326464","25/08/26","43222--27/08/2021"
"124599","104474-Ms Pristine Buildcon Pvt Limited Phase Ii Gpa Holder","Orange","B08","24/08/21","CfO-Fresh","Granted","189656","27/08/21","AW-326462","AW-326462","30/09/30","43220--27/08/2021"
"125458","105269-M R Industry","Orange","B05","21/08/21","CfO-Fresh","Granted","189579","27/08/21","W-326461","W-326461","30/09/30","43219--27/08/2021"
"124524","82097-Sri Venkateshwara Stone Crusher","Orange","RMN","10/08/21","CfO-Fresh","Granted","189306","27/08/21","AW-326460","AW-326460","30/09/30","43218--27/08/2021"
"125459","105270-K S Plastics","Orange","B05","21/08/21","CfO-Fresh","Granted","189576","27/08/21","W-326459","W-326459","30/09/30","43217--27/08/2021"
"126320","10836-Spi Pharma Inc India Branch","Orange","B02","17/08/21","HWM-Renewal","Granted","189505","27/08/21","326458","326458","30/09/26","43216--27/08/2021"
"126054","105082-M K H Industries Unit II","Orange","RMN","16/08/21","HWM-Fresh","Granted","189490","27/08/21","326457","326457","30/09/25","43215--27/08/2021"
"126055","105083-K H Enterprises Unit II","Orange","RMN","16/08/21","HWM-Fresh","Granted","189486","27/08/21","326456","326456","30/09/25","43214--27/08/2021"
"125590","105166-Manya Infratech Group","Orange","B07","25/08/21","CfO-Fresh","Granted","189671","27/08/21","AW-326455","AW-326455","30/09/31","43213--27/08/2021"
"108023","31815-Team Concept Pvt Ltd,Plot No.136B, Harohalli Indl. Area, II Phase, Kanakapura","Orange","RMN","23/07/21","HWM-Renewal","Granted","188844","27/08/21","326453","326453","30/09/21","43211--27/08/2021"
"111053","99238-Sasmos Cis Fiber Optics Limited","Green","B10","12/08/21","HWM-Fresh","Granted","189391","27/08/21","117577","117577","31/12/25","43210--27/08/2021"
"124727","34903-Awaradi Limestone Mine of Ms. SHIVALINGESHWAR MINERALS (Earlier Adarsh Minerals","Red","BE2","15/07/21","CfO-Renewal","Granted","188694","27/08/21","AW-326452","AW-326452","30/09/22","43209--27/08/2021"
"126718","105941-Rex Crop Science Pvt Ltd","Green","BJR","25/08/21","CfO-Fresh","Granted","189677","27/08/21","AW-117576","AW-117576","31/12/35","43208--27/08/2021"
"126725","105947-Rex Crop Science Pvt Ltd","Green","BJR","25/08/21","CfO-Fresh","Granted","189678","27/08/21","AW-117575","AW-117575","31/12/35","43207--27/08/2021"
"106494","26016-Sri Vinayaka Agro Products","Green","UDP","16/08/21","CfO-Renewal","Granted","189485","27/08/21","AW-117574","AW-117574","31/12/34","43206--27/08/2021"
"103330","27955-Motor World Pvt Ltd","Orange","B05","23/07/21","HWM-Renewal","Granted","188840","26/08/21","326450","326450","30/09/25","43204--26/08/2021"
"125232","105173-M R Plastic Unit - 2","Orange","B05","26/08/21","CfO-Fresh","Granted","189696","26/08/21","W-326449","W-326449","30/09/30","43203--26/08/2021"
"126526","105748-Kural Petrotech","Orange","B05","26/08/21","CfO-Fresh","Granted","189704","26/08/21","W-326448","W-326448","30/09/30","43202--26/08/2021"
"126654","74376-Indra Solvent Oils Pvt Ltd","Orange","KPL","26/08/21","CfO-Renewal","Granted","189715","26/08/21","AW-326447","AW-326447","30/09/31","43201--26/08/2021"
"112199","10401-Vasavadatta Cements","Red","GUL","19/04/21","HWM-Renewal","Granted","177420","26/08/21","326446","326446","30/06/26","43200--26/08/2021"
"124070","87296-IFB Industries Limited","Orange","KLR","16/08/21","CfO-Fresh","Granted","189472","26/08/21","AW-326445","AW-326445","30/09/30","43199--26/08/2021"
"124824","104870-Sri Jayadeva Institute Of Cardiovascular Sciences And Research","Red","GUL","26/07/21","CfE-Fresh","Granted","188905","26/08/21","CTE-326444","CTE-326444","25/08/26","43198--26/08/2021"
"112335","103379-Chikkamagaluru Institute Of Medical Sciences","Red","CKM","14/07/21","CfE-Fresh","Granted","188807","26/08/21","CTE-326443","CTE-326443","25/07/26","43197--26/08/2021"
