"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"15780","13393-M.M. Joshi Eye Institute","Orange","DHW","22/06/16","CfO-Renewal","Rejected","85928","27/12/17","AW-AW-RejectedReject","AW-AW-RejectedReject","",""
"22970","34243-Tirumala Enterprises","Orange","BE2","01/07/17","CfO-Fresh","Rejected","89296","27/12/17","A-A-RejectedRejected","A-A-RejectedRejected","",""
"23954","12531-Manvantra Aqua Eco Carbon Pvt Ltd","Red","TMK","13/09/17","CfO-Renewal","Granted","90432","27/12/17","AW-304716","AW-304716","30/06/21","8330--27/12/2017"
"27014","37288-Geetha Granites","Green","TMK","27/12/17","CfO-Renewal","Granted","92126","27/12/17","W-105321","W-105321","31/12/27","8329--27/12/2017"
"26411","31547-Heritage Foods Limited","Red","RCH","25/11/17","CfO-Renewal","Granted","91599","27/12/17","AW-304715","AW-304715","30/09/21","8328--27/12/2017"
"26023","36381-Shri S M Autade Pvt., Ltd","Orange","RCH","25/11/17","CfO-Fresh","Granted","91609","27/12/17","AW-304714","AW-304714","30/09/19","8327--27/12/2017"
"26671","36596-M\s.Supra Apparels(Bengaluru) Pvt Ltd","Green","B05","27/12/17","CfO-Fresh","Granted","92120","27/12/17","AW-105320","AW-105320","31/12/26","8326--27/12/2017"
"21855","11875-Beloor Bayir Biotech Ltd., (Unit of Bayir Chemicals)","Red","B06","26/05/17","CfO-Renewal","Granted","88862","27/12/17","AW-304713","AW-304713","30/06/22","8325--27/12/2017"
"26061","12688-Fuego Furniture Pvt. Ltd.,","Green","B10","13/12/17","HWM-Fresh","Granted","91903","27/12/17","105319","105319","31/12/22","8324--27/12/2017"
"20774","32580-B.K.Industries","Green","B07","18/12/17","CfE-Expand","Granted","91990","27/12/17","CTE-105318","CTE-105318","17/12/22","8323--27/12/2017"
"27023","37302-G.K. Plastic","Green","B05","27/12/17","CfO-Fresh","Granted","92118","27/12/17","W-105317","W-105317","31/12/26","8322--27/12/2017"
"20415","32821-Testxgnkspcb","Red","KPL","29/05/17","HWM-Fresh","Granted","91841","27/12/17","105316","105316","28/05/22","8321--27/12/2017"
"27173","21064-Vijaya Oil Mill & Refiners ,","Green","BJR","26/12/17","CfO-Renewal","Granted","92113","27/12/17","A-105315","A-105315","31/12/00","8320--27/12/2017"
"27189","37673-JRD STEELWAY PVT. LTD.","Green","KLR","27/12/17","CfO-Fresh","Granted","92114","27/12/17","AW-105314","AW-105314","31/12/26","8319--27/12/2017"
"22233","32103-Rajamane & Hegde Services (P) Ltd,","Orange","TMK","18/12/17","CfO-Renewal","Granted","91987","27/12/17","AW-304712","AW-304712","30/09/22","8318--27/12/2017"
"26360","13248-G.S. Castings","Orange","SHM","08/12/17","CfO-Renewal","Granted","91979","27/12/17","AW-304711","AW-304711","30/09/21","8317--27/12/2017"
"24548","34541-Ace Feeds Pvt Ltd","Orange","TMK","21/12/17","CfO-Renewal","Granted","92040","27/12/17","AW-304710","AW-304710","30/09/22","8316--27/12/2017"
"25080","17424-Mahaganesh Rice Mill","Orange","SHM","08/12/17","CfO-Renewal","Granted","92070","27/12/17","AW-304709","AW-304709","30/09/22","8315--27/12/2017"
"26004","35428-Mahanth Motors","Orange","SHM","27/11/17","CfO-Fresh","Granted","92066","27/12/17","AW-304708","AW-304708","30/09/22","8314--27/12/2017"
"23635","34301-Bombay Burmah Trading Corporation Ltd.,(Silpi Estate)","Orange","CRG","09/11/17","CfO-Renewal","Granted","91284","27/12/17","AW-304707","AW-304707","30/09/22","8313--27/12/2017"
"23422","34297-Bombay Burmah Trading Corporation Ltd Fairland Estate","Orange","CRG","09/11/17","CfO-Renewal","Granted","91283","27/12/17","AW-304706","AW-304706","30/09/22","8312--27/12/2017"
"21662","12522-Eshwari Textile Processing Pvt.Ltd","Red","B11","15/07/17","CfO-Renewal","Granted","89581","27/12/17","AW-304705","AW-304705","30/06/22","8311--27/12/2017"
"24616","17845-Industrial Research Corporation","Red","B04","16/09/17","CfO-Renewal","Granted","90507","27/12/17","AW-304704","AW-304704","30/06/22","8310--27/12/2017"
"25785","11451-Lumax Auto Technologies Limited","Green","KLR","26/12/17","CfE-Expand","Granted","92100","27/12/17","CTE-105313","CTE-105313","25/12/20","8309--27/12/2017"
"15695","16940-Baby Marine Products","Orange","UDP","16/03/17","CfE-Expand","Rejected","88545","27/12/17","CTE-CTE-105311Reject","CTE-CTE-105311Reject","",""
