"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"188366","149676-Sri Pranav Vajapeyam And Others","Green","B05","14/02/23","CfE-Fresh","Granted","212686","14/02/23","CTE-122535","CTE-122535","13/02/28","58247--14/02/2023"
"168809","74361-M/s Supritha Cashew Industries,","Orange","UDP","27/01/23","CfO-Renewal","Granted","212653","14/02/23","AW-336192","AW-336192","30/09/31","58246--14/02/2023"
"176133","80544-Groright Rubber Llp","Orange","UDP","07/02/23","CfE-Expand","Granted","212519","14/02/23","CTE-336191","CTE-336191","13/02/28","58245--14/02/2023"
"174312","136334-Auto Matrix Udupi","Orange","UDP","10/02/23","CfE-Fresh","Granted","212634","14/02/23","CTE-336190","CTE-336190","13/02/28","58244--14/02/2023"
"127183","10007-Bharat Nre Coke Ltd.,","Red","DHW","17/01/22","CfO-Renewal","Granted","195026","14/02/23","AW-336189","AW-336189","30/06/23","58243--14/02/2023"
"171224","100616-Venkateshwara Ragi Cleaning And Flour Mill","Green","MDY","13/02/23","CfO-Re Apply","Granted","212685","14/02/23","AW-122534","AW-122534","31/12/25","58242--14/02/2023"
"188541","137835-Shree Mallikarjuna Stone Crusher","Orange","CKM","02/02/23","CfO-Fresh","Granted","212368","14/02/23","AW-336188","AW-336188","30/09/23","58241--14/02/2023"
"173422","34075-Colaco Hospital","Orange","MNG","05/01/23","CfO-Renewal","Granted","212428","14/02/23","AW-336187","AW-336187","30/09/32","58240--14/02/2023"
"176484","138212-Udbhav Builders And Developers","Orange","B10","25/01/23","CfE-Fresh","Granted","212199","14/02/23","CTE-336186","CTE-336186","24/01/28","58239--14/02/2023"
"172441","134516-Sparsh Enclave","Orange","UDP","12/01/23","CfE-Fresh","Granted","211619","14/02/23","CTE-336185","CTE-336185","13/02/28","58238--14/02/2023"
"173288","134152-Bmtc Bus Depot Devanahalli","Orange","BR1","24/01/23","CfO-Renewal","Granted","212385","14/02/23","AW-336185","AW-336185","30/09/30",""
"171403","23771-Vikram Industries","Orange","UDP","27/01/23","CfO-Renewal","Granted","212654","14/02/23","AW-336184","AW-336184","30/09/32","58237--14/02/2023"
"168495","25802-Sunshine Royal Developers Pvt Ltd","Orange","MNG","19/01/23","CfO-Fresh","Granted","211865","14/02/23","AW-336183","AW-336183","30/09/25","58236--14/02/2023"
"176856","12033-Ace Multi Axes Systems Limited (Unit-I)","Green","B11","30/12/22","HWM-AutoRenewal","Granted","0","14/02/23","H-122534","H-122534","04/03/26","58235--14/02/2023"
"189111","18101-Mythri Motors","Orange","SHM","07/02/23","HWM-AutoRenewal","Granted","0","14/02/23","H-122533","H-122533","30/09/32","58234--14/02/2023"
"188326","77663-Brr Hallmark Developers Llp","Orange","B10","13/02/23","CfO-Fresh","Granted","212666","14/02/23","AW-336182","AW-336182","30/09/32","58233--14/02/2023"
"188901","134931-Shree Manjunatha Industries","Green","CKM","10/02/23","CfO-Fresh","Granted","212673","14/02/23","AW-122531","AW-122531","31/12/37","58232--14/02/2023"
