"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"21736","31607-Five Star Foods Processing & Cold Storage","Orange","BJR","18/07/17","CfO-Fresh","Granted","90533","31/10/17","AW-304067","AW-304067","30/09/22","7338--31/10/2017"
"22105","33834-Sanjeevini Super Specialty Hospital","Orange","BJR","20/06/17","CfO-Renewal","Granted","89124","31/10/17","AW-304066","AW-304066","30/09/21","7337--31/10/2017"
"24385","34875-Sri Durgaparameshwari Bottling Company","Green","UDP","30/10/17","CfO-Fresh","Granted","91125","31/10/17","W-104977","W-104977","29/10/16","7336--31/10/2017"
"23229","31594-K.B.N. Cold Storage","Orange","GUL","12/10/17","CfE-Fresh","Granted","90848","31/10/17","CTE-304065","CTE-304065","11/10/22","7335--31/10/2017"
"25365","34962-Kamadhenu Fashion,","Orange","B06","21/10/17","CfE-Fresh","Granted","90949","31/10/17","CTE-304064","CTE-304064","30/09/21","7334--31/10/2017"
"24134","17792-Standard Engineering Unit-Ii","Green","BE1","31/10/17","HWM-Renewal","Granted","91179","31/10/17","104976","104976","31/12/21","7333--31/10/2017"
"23460","34488-Vedanta Hospital","Orange","BJR","10/10/17","CfO-Fresh","Granted","90797","31/10/17","AW-304063","AW-304063","30/09/22","7332--31/10/2017"
"24910","11867-Monarch Self Adhesive Tapes & Foams Pvt. Ltd.,","Orange","B06","28/10/17","CfO-Renewal","Granted","91077","31/10/17","AW-304062","AW-304062","30/09/22","7331--31/10/2017"
"25312","35390-Maruthi Granites","Green","BGK","31/10/17","CfO-Renewal","Granted","91180","31/10/17","W-104975","W-104975","31/12/26","7330--31/10/2017"
"22296","10327-E.I.D Parry (India) Limited (Formerly known as Parrys Sugar Industries Ltd)","Red","BE1","05/07/17","CfE-Expand","Granted","89366","31/10/17","CTE-304061","CTE-304061","30/06/21","7329--31/10/2017"
"23051","29163-Sai Life Sciences Ltd.,","Red","BDR","07/09/17","CfE-Expand","Granted","90385","31/10/17","CTE-304060","CTE-304060","30/06/21","7328--31/10/2017"
"25155","33410-Mam Cold Storage","Orange","GUL","11/10/17","CfO-Fresh","Granted","90814","31/10/17","AW-304059","AW-304059","30/09/22","7327--31/10/2017"
"22649","10664-Novozymes South Asia Private Limited, R & D Unit","Red","B10","14/07/17","HWM-Amendment","Granted","89535","31/10/17","304058","304058","30/06/22","7326--31/10/2017"
"24468","21647-Sri Ramanjaneya Industries","Orange","UDP","23/10/17","CfO-Renewal","Granted","90966","31/10/17","AW-304057","AW-304057","30/09/22","7325--31/10/2017"
"20447","32240-Ken2v Engineers Pvt Ltd","Green","B07","31/10/17","CfO-Renewal","Granted","91166","31/10/17","AW-104974","AW-104974","31/12/26","7324--31/10/2017"
"24754","19366-Ashok Service Station","Orange","MNG","28/10/17","CfO-Renewal","Granted","91081","31/10/17","AW-304056","AW-304056","30/09/22","7323--31/10/2017"
"25507","35540-Santosh Enterprises","Green","BR1","30/10/17","CfO-Fresh","Granted","91172","31/10/17","AW-104973","AW-104973","31/12/26","7322--31/10/2017"
"25099","35141-Ganapathy Granite Impex Pvt Ltd","Green","BR1","28/10/17","CfO-Renewal","Granted","91093","31/10/17","AW-104972","AW-104972","31/12/26","7321--31/10/2017"
"23830","34626-V.R.Jayappa Granites","Green","BR1","30/10/17","CfO-Fresh","Granted","91158","31/10/17","W-104971","W-104971","31/12/26","7320--31/10/2017"
"19683","32250-Shimoga Roller Flour Mills(Pvt)ltd","Green","SHM","21/10/17","CfO-Fresh","Granted","91170","31/10/17","AW-104970","AW-104970","31/12/26","7319--31/10/2017"
"20117","32055-Sasnur Hospital","Orange","BJR","21/02/17","CfO-Renewal","Granted","90407","31/10/17","AW-304055","AW-304055","30/09/21","7318--31/10/2017"
"25156","16919-Radhika Industries","Orange","UDP","23/10/17","CfO-Re Apply","Granted","90971","31/10/17","AW-304054","AW-304054","30/09/22","7317--31/10/2017"
"23196","20361-Vasudha Colour Pvt.Ltd","Orange","B02","15/09/17","CfO-Renewal","Granted","90465","31/10/17","AW-304053","AW-304053","30/09/22","7316--31/10/2017"
"18765","31314-J K Agro Food Industries","Orange","TMK","01/12/16","CfO-Renewal","Granted","86897","31/10/17","AW-304052","AW-304052","30/09/20","7315--31/10/2017"
"24566","32963-General Hospital Savadatti","Orange","BE1","27/10/17","CfO-Fresh","Granted","91070","30/10/17","AW-304051","AW-304051","30/09/21","7314--30/10/2017"
"24340","32577-Essilor India Pvt. Ltd.,","Green","B04","30/10/17","CfO-Fresh","Granted","91138","30/10/17","AW-104969","AW-104969","31/12/26","7313--30/10/2017"
"24017","34440-Mahalakshmi Industries","Green","B04","30/10/17","CfO-Fresh","Granted","91141","30/10/17","AW-104968","AW-104968","31/12/26","7312--30/10/2017"
"24328","11299-Victor Enterprises","Orange","BE1","23/10/17","CfO-Renewal","Granted","90972","30/10/17","AW-304050","AW-304050","30/09/21","7311--30/10/2017"
