"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"171556","102483-Nexusnovus Airport Waste Management Pvt Ltd","Red","BR1","21/10/22","CfO-Fresh","Granted","210030","21/04/23","AW-337428","AW-337428","30/06/27","60267--21/04/2023"
"191229","107738-Rakon India Pvt Ltd","Orange","BR1","21/04/23","HWM-Fresh","Granted","214368","21/04/23","337427","337427","30/09/28","60266--21/04/2023"
"191815","18509-Megha Polyflex","Green","DHW","19/04/23","CfO-Renewal","Granted","214367","21/04/23","W-123303","W-123303","31/12/37","60265--21/04/2023"
"175286","33814-Ameco","Red","MDY","25/01/23","HWM-Renewal","Granted","212038","21/04/23","337426","337426","30/06/27","60264--21/04/2023"
"177069","137446-Mitsubishi Electric India Pvt Ltd","Green","B11","19/04/23","CfE-Expand","Granted","214316","21/04/23","CTE-123302","CTE-123302","18/04/28","60263--21/04/2023"
"188658","41642-Ayatana Hospitalities Pvt. Ltd.,","Orange","CRG","30/03/23","CfE-Expand","Granted","213983","21/04/23","CTE-337425","CTE-337425","29/03/28","60262--21/04/2023"
"189613","83989-Sri Aryadurga Agro Industries","Green","UDP","18/04/23","CfO-Fresh","Granted","214308","21/04/23","AW-123301","AW-123301","31/12/34","60261--21/04/2023"
"192726","120374-F A Traders","Green","B07","21/04/23","CfO-Expand","Granted","214361","21/04/23","W-123300","W-123300","31/12/36","60260--21/04/2023"
"175213","34169-Mysore Paints & Varnish Limited","Red","MY1","12/12/22","HWM-Renewal","Granted","211025","21/04/23","337424","337424","30/06/27","60259--21/04/2023"
"174745","135472-Amith Agro Industries","Orange","RMN","10/04/23","CfE-Fresh","Granted","214163","21/04/23","CTE-337423","CTE-337423","20/04/27","60258--21/04/2023"
"171102","33830-Indian Oil Corporation Ltd","Red","B08","16/12/22","HWM-Renewal","Granted","210780","21/04/23","337422","337422","30/06/27","60257--21/04/2023"
"172149","78501-CIE Automotive India Limited(Previously Mahindra CIE Automotive Ltd - Plant - 6B","Orange","B01","09/03/23","CfO-Expand","Granted","213557","21/04/23","W-337421","W-337421","30/09/32","60256--21/04/2023"
"192562","12848-Mysore Garage","Orange","DHW","17/04/23","HWM-AutoRenewal","Granted","0","21/04/23","H-123300","H-123300","26/08/23","60255--21/04/2023"
"191538","152273-Tuff N Lite Blocks","Green","BE1","20/04/23","CfE-Fresh","Granted","214359","21/04/23","CTE-123298","CTE-123298","19/04/28","60254--21/04/2023"
"174472","103281-R N S Infrastructure","Orange","KPL","30/12/22","CfO-Renewal","Granted","211234","21/04/23","AW-337420","AW-337420","25/09/23","60253--21/04/2023"
"173780","34856-Aglp Agro Industries","Orange","UDP","11/04/23","CfE-Expand","Granted","214190","21/04/23","CTE-337419","CTE-337419","20/04/28","60252--21/04/2023"
"191747","151723-Vijayanagar Egg Farm Unit Two","Green","BLY","30/03/23","CfO-Fresh","Granted","214238","21/04/23","AW-123297","AW-123297","31/12/37","60251--21/04/2023"
"191252","152024-Munishwara Stone Crusher And M Sand","Orange","CKM","28/03/23","CfE-Fresh","Granted","213932","21/04/23","CTE-337418","CTE-337418","20/04/28","60250--21/04/2023"
"191187","151959-Vijayanagar Egg Farm Unit One","Green","BLY","30/03/23","CfO-Fresh","Granted","214237","21/04/23","AW-123296","AW-123296","31/12/37","60249--21/04/2023"
"192625","37811-The Sandur Manganese & Iron Ores Ltd","Red","BLY","19/04/23","HWM-AutoRenewal","Granted","0","21/04/23","H-123296","H-123296","30/06/28","60248--21/04/2023"
"192555","30740-The Sandur Manganese & Iron Ores Ltd","Red","BLY","17/04/23","HWM-AutoRenewal","Granted","0","21/04/23","H-123295","H-123295","30/06/28","60247--21/04/2023"
"176917","35818-Adishakthi Rice Industries","Orange","UDP","18/04/23","CfO-Renewal","Granted","214310","21/04/23","AW-337417","AW-337417","30/09/32","60246--21/04/2023"
"192637","27913-S. A. Thawab Iron Ore Mine of M/s. S. A. Thawab & Company","Red","BLY","19/04/23","HWM-AutoRenewal","Granted","0","21/04/23","H-123294","H-123294","30/06/26","60245--21/04/2023"
"171275","18455-Nandhini Milk Products Unit Of Kmf","Red","B05","12/10/22","CfO-Renewal","Granted","209275","20/04/23","AW-337416","AW-337416","30/06/27","60244--20/04/2023"
"191532","152278-Balaji Bag Manufacturers","Green","BGK","20/04/23","CfE-Fresh","Granted","214342","20/04/23","CTE-123292","CTE-123292","19/04/28","60243--20/04/2023"
"191350","152096-Arjunvaishnavi Infrastructure And Developers Pvt Ltd","Orange","HVR","28/03/23","CfO-Fresh","Granted","214315","20/04/23","AW-337415","AW-337415","30/09/26","60242--20/04/2023"
"191550","152277-Siddeshwar Jaggery","Green","BGK","20/04/23","CfE-Fresh","Granted","214343","20/04/23","CTE-123291","CTE-123291","19/04/28","60241--20/04/2023"
"192550","153133-Mahalasa Stone Crusher (Shri. Raghavendra R. Naik)","Orange","BE1","20/04/23","CfE-Fresh","Granted","214345","20/04/23","CTE-337414","CTE-337414","19/04/28","60240--20/04/2023"
"192394","152947-Swachha Eco Solutions Private Limited Bangalore Unit II","Green","B09","19/04/23","CfO-Fresh","Granted","214324","20/04/23","W-123290","W-123290","31/12/37","60239--20/04/2023"
"192412","152896-SLP Group Plastic Recycling Solution","Green","B09","13/04/23","CfO-Fresh","Granted","214247","20/04/23","W-123289","W-123289","31/12/37","60238--20/04/2023"
"170437","133223-Indwin Galaxy Owners Association","Green","B07","20/04/23","CfO-Fresh","Granted","214344","20/04/23","W-123288","W-123288","31/12/32","60237--20/04/2023"
"191703","83571-M\s Krishna Krupa Industries","Green","UDP","18/04/23","CfO-Fresh","Granted","214341","20/04/23","AW-123286","AW-123286","31/12/33","60235--20/04/2023"
"177095","21648-Yuken India Limited.,","Orange","B11","20/03/23","CfO-Renewal","Granted","213761","20/04/23","AW-337412","AW-337412","30/09/32","60234--20/04/2023"
"106411","99250-Powertrek Industries","Red","B11","04/12/20","CfO-Renewal","Rejected","174627","20/04/23","AW-AW-335856Rejected","AW-AW-335856Rejected","","60232--20/04/2023"
"190452","151410-Shanta Hospital","Orange","GUL","31/03/23","CfO-Fresh","Granted","214198","20/04/23","AW-337411","AW-337411","30/09/32","60231--20/04/2023"
"190877","151695-Ms Green Fuel Waste Management","Red","GUL","27/03/23","CfE-Fresh","Granted","214246","20/04/23","CTE-337410","CTE-337410","19/04/28","60230--20/04/2023"
"190532","28299-S.B. Patil Minerals Pvt. Ltd.","Orange","GUL","11/04/23","CfO-Renewal","Granted","214286","20/04/23","AW-337409","AW-337409","30/09/27","60229--20/04/2023"
"176315","137426-Veerabhadreshwar Water Service Station","Orange","BDR","09/02/23","CfO-Fresh","Rejected","214002","20/04/23","AW-W-123161Rejected","AW-W-123161Rejected","","60228--20/04/2023"
"174574","103845-Ms Sfo Technologies Pvt Ltd","Orange","B01","15/04/23","HWM-Fresh","Granted","214262","19/04/23","337408","337408","30/09/27","60227--19/04/2023"
"177033","38227-M\s Env R Way","Orange","B09","17/03/23","HWM-Renewal","Granted","213738","19/04/23","337407","337407","30/09/27","60226--19/04/2023"
"192342","152929-Sunflex Polymers","Green","BR1","19/04/23","CfO-Fresh","Granted","214334","19/04/23","W-123285","W-123285","31/12/38","60225--19/04/2023"
"192504","153098-Shantikamba Apparels","Green","KWR","19/04/23","CfE-Fresh","Granted","214335","19/04/23","CTE-123284","CTE-123284","18/04/28","60224--19/04/2023"
"192232","152752-Om Stone Crushers","Orange","BE1","19/04/23","CfE-Fresh","Granted","214325","19/04/23","CTE-337406","CTE-337406","18/04/28","60221--19/04/2023"
"188450","138888-Jai Hind Scrap Centre","Orange","BE1","19/04/23","CfE-Fresh","Granted","214321","19/04/23","CTE-337405","CTE-337405","18/04/28","60219--19/04/2023"
"191922","35430-Devalapura Quartz Mine of Sri. Allum Prashanth","Red","BLY","06/04/23","CfO-Renewal","Granted","214191","19/04/23","AW-337404","AW-337404","19/09/23","60218--19/04/2023"
"190831","131613-Anegudde Upadhyaya Industries","Green","UDP","18/04/23","CfO-Fresh","Granted","214322","19/04/23","AW-123280","AW-123280","31/12/37","60217--19/04/2023"
"189992","150391-D N R Flours And Masala","Green","MDY","08/03/23","CfO-Fresh","Granted","213776","19/04/23","AW-123278","AW-123278","31/12/37","60215--19/04/2023"
