"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"113527","103915-Srikara Agro Rice Industries","Green","SHM","02/06/21","CfE-Fresh","Granted","178064","14/06/21","CTE-117045","CTE-117045","01/06/26","41372--14/06/2021"
"111641","100667-Ms Modern Asset","Red","B08","24/03/21","HWM-AutoRenewal","Granted","0","14/06/21","H-117045","H-117045","14/06/26","41371--14/06/2021"
"113700","101475-Modern Asset","Red","B08","09/06/21","HWM-AutoRenewal","Granted","0","14/06/21","H-117044","H-117044","30/06/25","41370--14/06/2021"
"111354","102899-Veerabhadreshwar Stone Crushers","Orange","BGK","08/06/21","CfO-Renewal","Granted","178005","11/06/21","AW-325244","AW-325244","30/09/30","41369--11/06/2021"
"110334","102296-Von Roll India Pvt Ltd","Orange","BR3","09/04/21","CfE-Expand","Granted","178044","11/06/21","CTE-117042","CTE-117042","31/12/25","41368--11/06/2021"
"111353","12348-Shradhanand Stone Crusher","Orange","BGK","08/06/21","CfO-Renewal","Granted","178004","11/06/21","AW-325243","AW-325243","30/09/30","41367--11/06/2021"
"111534","99957-Shri Daneshwari Stone Cruhser","Orange","BE1","23/03/21","CfO-Re Apply","Granted","176871","11/06/21","AW-325242","AW-325242","30/09/30","41366--11/06/2021"
"110668","81203-Rarewala Steel And Alloys Pvt. Ltd.","Green","BR3","19/03/21","CfO-Expand","Granted","178056","11/06/21","AW-117041","AW-117041","31/12/25","41365--11/06/2021"
"110748","102539-Global Plastics And Metals","Orange","BR2","05/05/21","CfE-Fresh","Granted","177727","11/06/21","CTE-325241","CTE-325241","30/05/26","41364--11/06/2021"
"108588","27078-Mpp Technologies Pvt Ltd","Orange","BR3","01/04/21","CfE-Expand","Granted","177134","11/06/21","CTE-325240","CTE-325240","31/05/26","41363--11/06/2021"
"109750","101687-Vrc Infra Projects","Orange","B08","16/04/21","CfO-Fresh","Granted","177371","11/06/21","AW-325239","AW-325239","30/09/30","41362--11/06/2021"
"106024","16480-Godrej & Boyce Mfg. Co.Ltd.,","Orange","BR3","27/01/21","CfO-Renewal","Granted","175829","11/06/21","AW-325238","AW-325238","26/01/26","41361--11/06/2021"
"110011","10112-Bannari Amman Sugars Limited","Red","MY2","06/03/21","CfO-Expand","Granted","176543","11/06/21","AW-325237","AW-325237","30/06/21","41360--11/06/2021"
"113422","103851-Patil Ortho And Trauma Center","Orange","BGK","10/06/21","CfO-Fresh","Granted","178017","11/06/21","AW-325236","AW-325236","30/09/30","41359--11/06/2021"
"113004","99723-Lalita Growers (Cattle Feed Industry)","Orange","BE2","10/06/21","CfO-Fresh","Granted","178041","11/06/21","AW-325235","AW-325235","30/09/30","41358--11/06/2021"
"112358","103296-Bhs Lakeview Heart Superspeciality Hospital","Orange","BE1","10/06/21","CfO-Fresh","Granted","178034","11/06/21","AW-325234","AW-325234","30/09/22","41357--11/06/2021"
"112811","103591-Kanthi Nursing Home","Orange","BGK","09/06/21","CfE-Fresh","Granted","178010","11/06/21","CTE-325233","CTE-325233","08/06/26","41356--11/06/2021"
"112251","30157-Meera Envirotech Private Limited","Red","KLR","22/04/21","CfO-Renewal","Granted","177520","11/06/21","AW-325232","AW-325232","30/06/26","41355--11/06/2021"
"111538","102881-Ramsons Garment Finishing Equipments Pvt Ltd","Green","B09","26/04/21","CfO-Fresh","Granted","177584","11/06/21","AW-117040","AW-117040","31/12/30","41354--11/06/2021"
"112264","103353-Mrs Kulsoom Nassur","Green","B09","11/06/21","CfE-Fresh","Granted","178054","11/06/21","CTE-117039","CTE-117039","10/04/26","41353--11/06/2021"
"112614","30610-Rohit Stone Crusher","Orange","BE1","08/05/21","CfO-Re Apply","Granted","177773","11/06/21","AW-325230","AW-325230","30/09/29","41351--11/06/2021"
"112613","74870-Malhar Enterprises","Orange","BE1","08/05/21","CfO-Re Apply","Granted","177775","11/06/21","AW-325229","AW-325229","30/09/29","41350--11/06/2021"
"112021","14841-Sai Udyog (Stone Crusher)","Orange","BE1","07/04/21","CfO-Re Apply","Granted","177222","11/06/21","AW-325227","AW-325227","30/09/30","41348--11/06/2021"
"105805","26539-Talrak Construction Chemicals Pvt. Ltd","Green","RMN","10/06/21","CfO-Renewal","Granted","178016","10/06/21","AW-117038","AW-117038","31/12/34","41347--10/06/2021"
