"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"125352","103660-Mahaveer Bulk Carriers","Green","TMK","05/08/21","CfO-Fresh","Granted","189183","05/08/21","AW-117368","AW-117368","31/12/35","42544--05/08/2021"
"97510","82395-Alchemy Surface Technologies","Red","BR3","20/11/19","CfE-Fresh","Rejected","168147","05/08/21","CTE-CTE-326007Reject","CTE-CTE-326007Reject","","42543--05/08/2021"
"109520","101650-Navdurga Food Products Private Limited","Green","MNG","11/02/21","CfO-Fresh","Granted","188601","05/08/21","AW-117367","AW-117367","31/12/35","42542--05/08/2021"
"125515","105311-Ultratech Paints And Allied Products","Orange","B11","04/08/21","CfO-Fresh","Granted","189156","05/08/21","AW-326009","AW-326009","30/09/30","42541--05/08/2021"
"112573","29847-Maruthi Granites","Orange","B10","23/07/21","CfO-Renewal","Granted","188867","05/08/21","A-326008","A-326008","30/09/30","42540--05/08/2021"
"125714","105382-M N Industries","Orange","B11","04/08/21","CfO-Expand","Granted","189159","05/08/21","AW-326007","AW-326007","30/09/30","42539--05/08/2021"
"101958","86840-Turbotek Industries","Green","B06","02/08/21","CfO-Fresh","Granted","189112","05/08/21","W-117365","W-117365","31/12/36","42537--05/08/2021"
"124095","103754-Residential Apartment By Rayyan Builders","Orange","KWR","26/07/21","CfE-Fresh","Granted","188999","05/08/21","CTE-326006","CTE-326006","25/07/26","42536--05/08/2021"
"124704","104781-Ganesh Devappa Naik","Orange","KWR","30/07/21","CfE-Fresh","Granted","189041","04/08/21","CTE-326005","CTE-326005","29/07/26","42535--04/08/2021"
"125061","104975-Ms Yohaan Coconut Industries","Orange","TMK","31/07/21","CfE-Fresh","Granted","189080","04/08/21","CTE-326004","CTE-326004","30/07/26","42534--04/08/2021"
"113332","103354-Sri Chakra Containers Pvt Ltd Sacks Division","Orange","UDP","16/07/21","CfO-Fresh","Granted","188768","04/08/21","AW-326003","AW-326003","30/09/25","42533--04/08/2021"
"125041","22941-KAMADHENU STONE CRUSHER","Orange","CDG","29/07/21","CfO-Renewal","Granted","189086","04/08/21","AW-326002","AW-326002","30/09/29","42532--04/08/2021"
