"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"17610","10154-Wallace Laboratories Pvt, Ltd.,","Orange","DHW","24/09/16","CfO-Renewal","Granted","86587","14/11/16","AW-301379","AW-301379","23/09/21","2931--14/11/2016"
"16616","11179-Sur Armour Private Limited (Formerly Ms. Surhennig Private Limited)","Red","B11","28/07/16","CfO-Renewal","Rejected","85141","14/11/16","AWH-Rejected","AWH-Rejected","",""
"14843","10880-Sri. Chamundeshwari Sugars Ltd","Red","MDY","21/05/16","CfO-Renewal","Granted","85183","14/11/16","AW-301378","AW-301378","30/06/21","2930--14/11/2016"
"14021","28617-Hemavathi Cement Industries","Red","HAS","03/05/16","CfO-Fresh","Granted","83645","14/11/16","AWH-301377","AWH-301377","30/06/21","2929--14/11/2016"
"15218","10679-Glastronix LLP","Red","B11","04/07/16","CfO-Renewal","Rejected","84741","14/11/16","AW-Rejected","AW-Rejected","",""
"18166","31272-KB Plastics,","Green","BR2","28/10/16","CfO-Fresh","Granted","86612","14/11/16","W-103259","W-103259","31/12/25","2928--14/11/2016"
"16370","27521-Mother Earth Environ Tech Pvt. Ltd","Red","RMN","04/08/16","CfO-Renewal","Granted","85275","14/11/16","AW-301376","AW-301376","30/06/21","2927--14/11/2016"
"15287","29318-Jsa Web Solutions","Red","BR2","19/08/16","CfO-Fresh","Granted","85546","14/11/16","AW-301375","AW-301375","30/06/21","2926--14/11/2016"
"15702","29582-Shapoorji Pallonji & Co Pvt.Ltd [rmc]","Green","B07","09/11/16","CfE-Fresh","Granted","86664","14/11/16","CTE-103258","CTE-103258","09/11/18","2925--14/11/2016"
"18589","29524-Shapoorji Pallonji & Co Pvt.Ltd [rmc]","Green","B07","10/11/16","CfO-Fresh","Granted","86672","14/11/16","AW-103257","AW-103257","02/05/19","2924--14/11/2016"
"18731","31507-Catlite Carbons Llp","Red","TMK","10/11/16","CfO-Fresh","Granted","86683","14/11/16","A-103256","A-103256","31/12/25","2923--14/11/2016"
"17357","30718-Shushrusha Hospital","Orange","B08","04/11/16","CfO-Fresh","Granted","86609","13/11/16","AW-301374","AW-301374","30/09/21","2922--13/11/2016"
"18435","31479-Keerthana Enterprises","Orange","B06","05/11/16","CfO-Fresh","Granted","86625","11/11/16","W-301373","W-301373","30/09/21","2921--11/11/2016"
"17423","30817-Triunity Chemtech Pvt Ltd","Green","B07","02/09/16","CfO-Fresh","Granted","85784","11/11/16","AW-103255","AW-103255","31/12/22","2920--11/11/2016"
"18695","29602-Sunshade Hollow Blocks & Interlocks","Green","UDP","08/11/16","CfE-Fresh","Granted","86661","10/11/16","CTE-103254","CTE-103254","07/11/21","2919--10/11/2016"
"16550","29600-Sunshade Drinking Water & Soft Drinks","Green","UDP","08/11/16","CfE-Fresh","Granted","86656","10/11/16","CTE-103253","CTE-103253","07/11/21","2918--10/11/2016"
"18512","31507-Catlite Carbons Llp","Red","TMK","10/11/16","CfE-Fresh","Granted","86676","10/11/16","CTE-103252","CTE-103252","30/12/20","2917--10/11/2016"
"18449","31375-System Infotech","Green","BR3","04/11/16","CfO-Fresh","Granted","86673","10/11/16","W-103251","W-103251","31/12/25","2916--10/11/2016"
"17975","30883-M\s Daksha Granites Pvt Ltd","Green","TMK","10/11/16","CfO-Renewal","Granted","86675","10/11/16","AW-103250","AW-103250","31/12/25","2915--10/11/2016"
"15718","29616-Central Hospital","Orange","MY1","28/09/16","CfO-Renewal","Granted","86177","10/11/16","AW-301372","AW-301372","27/09/17","2914--10/11/2016"
"17829","29641-Fas Technologies","Green","CKM","20/09/16","CfE-Fresh","Granted","86670","09/11/16","CTE-103249","CTE-103249","31/12/21","2912--09/11/2016"
"18164","31216-Rajdeep Buildcon Pvt Ltd","Orange","BGK","19/10/16","CfE-Fresh","Granted","86391","09/11/16","CTE-301370","CTE-301370","18/10/21","2911--09/11/2016"
"15510","27479-Xgn-Test-Lr-10022016","Red","KPL","07/06/16","CfO-Fresh","Granted","84261","09/11/16","W-301369","W-301369","06/06/21","2910--09/11/2016"
"18632","31602-S. Star Enterprises","Green","MY1","07/11/16","CfO-Fresh","Granted","86648","09/11/16","W-103248","W-103248","31/12/25","2908--09/11/2016"
"16511","10282-S S Institute Of Medical Sciences And Research Centre","Red","DVG","17/08/16","CfO-Renewal","Granted","85480","09/11/16","AW-301367","AW-301367","30/06/21","2907--09/11/2016"
"16001","11353-Manipal Hospitals Private Limited (Formerly Columbia Asia Hospitals Pvt Ltd.","Red","B04","04/07/16","CfO-Renewal","Granted","85193","09/11/16","AW-301366","AW-301366","30/06/21","2906--09/11/2016"
"16414","11770-Suryakanth Environmental Technologies, Plot No.158, Haraginadoni Village,Bellary","Red","BLY","23/07/16","CfO-Renewal","Granted","85123","09/11/16","AW-301365","AW-301365","30/06/21","2905--09/11/2016"
"16175","14015-K.G. Nandini Enterprises","Red","RMN","11/07/16","CfO-Renewal","Granted","84813","09/11/16","AWH-301364","AWH-301364","30/06/21","2904--09/11/2016"
"17362","11358-Associate Decor Limited","Red","KLR","16/08/16","CfO-Renewal","Granted","85473","08/11/16","AW-301363","AW-301363","30/06/21","2903--08/11/2016"
"18087","24174-B.N.M.Hi-Tech Agro Industries","Orange","DVG","13/10/16","CfO-Renewal","Granted","86333","08/11/16","AW-301362","AW-301362","30/09/21","2902--08/11/2016"
"18253","31365-Sri Srinivasa Constructions India Pvt. Ltd.,58313","Orange","DVG","22/10/16","CfE-Fresh","Granted","86498","08/11/16","CTE-301361","CTE-301361","11/08/21","2901--08/11/2016"
"16036","17405-Namratha Oil Refineries (P) Ltd","Orange","TMK","23/07/16","CfO-Renewal","Granted","85016","07/11/16","AW-301360","AW-301360","30/09/21","2900--07/11/2016"
"18421","31466-Aathreya Ayurveda Pharma","Green","B09","21/10/16","CfO-Fresh","Granted","86620","07/11/16","W-103247","W-103247","31/12/25","2899--07/11/2016"
"15458","10626-Mvj Medical College & Research Hospital.","Red","BR1","14/07/16","CfO-Renewal","Granted","84862","07/11/16","AWH-301359","AWH-301359","13/07/21","2898--07/11/2016"
"14836","11083-Mother Dairy (Unit Of Kmf)","Red","B08","05/07/16","CfO-Renewal","Granted","84766","07/11/16","AW-301358","AW-301358","30/06/17","2897--07/11/2016"
