"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"208277","153765-Maashree Distillery Private Limited","Red","GUL","19/08/23","CfE-Fresh","Granted","217292","05/11/23","CTE-340410","CTE-340410","18/04/33","65295--05/11/2023"
"206100","11517-E.I.D. Parry (India) Ltd.","Red","KWR","21/07/23","CfE-Expand","Granted","216497","05/11/23","CTE-340409","CTE-340409","03/04/33","65294--05/11/2023"
"210192","179863-Apple Operations India Pvt Ltd","Red","B10","30/09/23","CfE-Fresh","Granted","218001","05/11/23","CTE-340408","CTE-340408","04/11/28","65293--05/11/2023"
"205957","132495-Shrisuryavanshi Nutraceutical Pvt Ltd","Red","BGK","27/07/23","CfE-Fresh","Granted","216604","05/11/23","CTE-340407","CTE-340407","28/09/32","65292--05/11/2023"
"191719","33683-Shri Bhimashankar Sahakari Sakkare Karkhane Niyamit","Red","BJR","06/07/23","CfE-Expand","Granted","216122","05/11/23","CTE-340406","CTE-340406","19/04/33","65291--05/11/2023"
"176928","21812-Sri Gajanana Cashew Industries","Orange","UDP","03/11/23","CfO-Renewal","Granted","218843","04/11/23","AW-340404","AW-340404","30/09/32","65289--04/11/2023"
"194919","154560-United Telecom Limited","Green","B10","04/11/23","CfO-Renewal","Granted","218866","04/11/23","AW-125202","AW-125202","31/12/24","65288--04/11/2023"
"211845","181548-Vv Systems And Power Panels Pvt Ltd","Green","B09","04/11/23","CfE-Fresh","Granted","218867","04/11/23","CTE-125201","CTE-125201","19/10/28","65287--04/11/2023"
"210223","74994-M\s T. Suresh Shetty Hot Mix Plant","Orange","UDP","09/10/23","CfO-Renewal","Granted","218801","04/11/23","AW-340403","AW-340403","30/09/33","65286--04/11/2023"
"211466","181118-Prathnasa Shilpa Kala","Green","UDP","13/10/23","CfE-Fresh","Granted","218865","04/11/23","CTE-125200","CTE-125200","12/10/28","65284--04/11/2023"
"208345","177924-Hengst Filtration Private Limited India","Green","B08","04/11/23","CfE-Fresh","Granted","218858","04/11/23","CTE-125199","CTE-125199","03/11/28","65283--04/11/2023"
"190325","16897-Modala Panels And Boards","Orange","CKM","17/10/23","CfO-Renewal","Granted","218571","04/11/23","AW-340401","AW-340401","30/09/29","65280--04/11/2023"
"210527","40068-Chamundeshwari Waste Materials & Rubber Scrap","Orange","MY1","03/11/23","CfO-Renewal","Granted","218852","04/11/23","A-340400","A-340400","30/09/33","65279--04/11/2023"
"206091","42724-Shree Ambe Labels Pvt.Ltd","Orange","MY1","11/10/23","CfO-Renewal","Granted","218611","04/11/23","AW-340398","AW-340398","30/09/32","65277--04/11/2023"
"209017","13566-Silcon Steel Pvt. Ltd.,","Orange","B10","25/09/23","CfE-Expand","Granted","217909","04/11/23","CTE-340397","CTE-340397","24/09/28","65276--04/11/2023"
"192001","84532-Dynamatic Hydraulics (Unit-I I) - Center For Bush Excellence","Orange","B11","06/10/23","CfO-Renewal","Granted","218331","04/11/23","AW-340396","AW-340396","30/09/32","65275--04/11/2023"
"211447","41312-Holy Cross Hospital","Orange","CKM","17/10/23","CfO-Renewal","Granted","218557","04/11/23","AW-340395","AW-340395","30/09/33","65274--04/11/2023"
"210903","14638-Max Colors","Orange","B05","03/11/23","CfO-Renewal","Granted","218823","04/11/23","AW-340394","AW-340394","30/09/33","65273--04/11/2023"
"210872","10311-Life Line Feeds(India) Pvt. Ltd.,","Orange","CKM","10/10/23","CfO-Renewal","Granted","218812","04/11/23","AW-340393","AW-340393","30/09/33","65272--04/11/2023"
"209478","78940-S J R Spencer Apartment Owners Welfare Association","Orange","B10","02/11/23","CfO-Renewal","Granted","218792","04/11/23","W-340392","W-340392","30/09/33","65271--04/11/2023"
"170381","19585-Bharat Heavy Electricals Ltd- Solar Business Division","Orange","B04","25/09/23","HWM-Renewal","Granted","217900","04/11/23","340391","340391","30/09/26","65270--04/11/2023"
"210191","78052-R.B Industries","Orange","B05","30/10/23","CfO-Renewal","Granted","218707","04/11/23","W-340390","W-340390","30/09/33","65269--04/11/2023"
"207604","100215-Residential Apartment By Adithya Constructions","Orange","B10","22/08/23","CfO-Fresh","Granted","217178","04/11/23","W-340389","W-340389","30/09/32","65268--04/11/2023"
"210943","75176-M\s. New Varalakshmi Hospital","Orange","B04","03/11/23","CfO-Renewal","Granted","218810","04/11/23","AW-340388","AW-340388","30/09/33","65267--04/11/2023"
"210892","76836-M\s. Larsen & Toubro Limited","Orange","BR1","06/10/23","CfO-Renewal","Granted","218169","04/11/23","AW-340387","AW-340387","30/09/33","65266--04/11/2023"
"210674","78639-Chaitanya Packaging Industries","Orange","B05","31/10/23","CfO-Renewal","Granted","218725","04/11/23","AW-340386","AW-340386","30/09/33","65265--04/11/2023"
"207198","108281-Ather Energy Private Limited","Green","B05","30/10/23","CfE-Expand","Rejected","218704","04/11/23","CTE-CTE-125135Reject","CTE-CTE-125135Reject","","65264--04/11/2023"
"211920","102160-JJ Enterprises","Green","B09","04/11/23","HWM-Amendment","Granted","218863","04/11/23","125196","125196","31/12/26","65263--04/11/2023"
"212040","181715-Sv Developers","Green","B09","04/11/23","CfE-Fresh","Granted","218860","04/11/23","CTE-125195","CTE-125195","20/10/28","65262--04/11/2023"
"211783","181494-commercial cum Residential Apartment By Shataj Begum And Syed Maqbul Ahmed","Green","B09","04/11/23","CfE-Fresh","Granted","218861","04/11/23","CTE-125194","CTE-125194","28/10/28","65261--04/11/2023"
"211282","79047-Shree Polymers","Green","B09","27/10/23","CfO-Renewal","Granted","218862","04/11/23","W-125193","W-125193","31/12/37","65260--04/11/2023"
"206178","165782-Papanna C Proposed School And Hostel Building","Orange","B10","04/08/23","CfE-Fresh","Rejected","217677","04/11/23","CTE-CTE-125117Reject","CTE-CTE-125117Reject","","65258--04/11/2023"
"211578","181264-Sanath IT Park","Orange","BR1","18/10/23","CfE-Fresh","Granted","218828","04/11/23","CTE-340385","CTE-340385","17/10/28","65257--04/11/2023"
"210176","179977-Residential Cum Commercial Building By Sri S Narayanaswamy And Others","Green","B08","04/11/23","CfE-Fresh","Granted","218856","04/11/23","CTE-125191","CTE-125191","03/11/28","65256--04/11/2023"
"209026","178772-N Somashekar Stone Crusher (Previously Sun Rock Stone Crusher),","Orange","KLR","10/10/23","CfE-Fresh","Granted","218314","04/11/23","CTE-340384","CTE-340384","09/10/28","65254--04/11/2023"
"210658","100829-Karthik Marine Industries","Orange","UDP","13/10/23","CfO-Expand","Granted","218646","04/11/23","AW-340383","AW-340383","30/09/33","65253--04/11/2023"
"194243","77876-Sree Ganesh Chemicals","Red","MY1","17/08/23","CfO-Renewal","Granted","217847","04/11/23","AW-340381","AW-340381","30/06/28","65251--04/11/2023"
"168212","34851-Vedashree Powder Coaters,","Red","B06","14/09/22","CfO-Renewal","Granted","208639","04/11/23","AW-340380","AW-340380","30/06/27","65250--04/11/2023"
"212148","181024-Lotus Infra","Green","B03","04/11/23","CfE-Fresh","Granted","218848","04/11/23","CTE-125189","CTE-125189","03/11/28","65249--04/11/2023"
"190142","33293-Mahindra Last Mile Mobility Limited (Mahindra Electric Mobility Limited","Green","B02","03/11/23","CfO-Expand","Granted","218846","04/11/23","AW-125188","AW-125188","31/12/27","65248--04/11/2023"
"208300","177994-S K Wash Tech","Orange","B09","19/10/23","CfO-Fresh","Granted","218540","03/11/23","AW-340379","AW-340379","30/09/32","65247--03/11/2023"
"210728","41343-J.R. Duralumin Alloys","Orange","RMN","27/10/23","HWM-Renewal","Granted","218655","03/11/23","340378","340378","30/09/28","65246--03/11/2023"
"208818","100311-Innova Printing And Packaging Company Pvt Ltd","Orange","RMN","07/10/23","CfO-Fresh","Granted","218198","03/11/23","AW-340377","AW-340377","30/09/29","65245--03/11/2023"
"209677","11415-Healthium Medtech Limited","Orange","TMK","16/10/23","CfE-Expand","Granted","218652","03/11/23","CTE-340376","CTE-340376","15/10/27","65244--03/11/2023"
"211323","31674-Hitech Medicare Hospital","Orange","UDP","09/10/23","CfO-Renewal","Granted","218648","03/11/23","AW-340374","AW-340374","30/09/31","65242--03/11/2023"
"212430","133247-Sai Pavan Decoiling And Services Unit","Green","BLY","02/11/23","CfO-Fresh","Granted","218835","03/11/23","AW-125187","AW-125187","31/12/37","65241--03/11/2023"
"210509","22975-M/s Manipal Utility Packaging Solutions, (Packaging Division)","Orange","UDP","02/11/23","HWM-Fresh","Granted","218802","03/11/23","340373","340373","30/09/28","65240--03/11/2023"
"212056","42369-Hemavathi Orthopaedic And Trauma Centre","Orange","TMK","30/10/23","CfO-Renewal","Granted","218715","03/11/23","AW-340372","AW-340372","30/09/33","65239--03/11/2023"
"177858","138723-Bagmane Developers Pvt Ltd Parin","Red","B03","02/03/23","CfO-Renewal","Granted","213242","03/11/23","AW-340371","AW-340371","30/06/27","65238--03/11/2023"
"210528","35618-Manipal Utility Packaging Solutions Private Limited (corrugation unit)","Orange","UDP","02/11/23","HWM-Renewal","Granted","218803","03/11/23","340370","340370","30/09/27","65237--03/11/2023"
"211911","181519-Proposed Commercial And Hostel Building By Kammavari Sangham","Green","B07","31/10/23","CfE-Fresh","Granted","218737","03/11/23","CTE-125186","CTE-125186","30/10/28","65235--03/11/2023"
"191625","40258-H N S Stone Crusher","Orange","TMK","26/04/23","CfO-Renewal","Granted","214456","03/11/23","AW-340369","AW-340369","30/09/24","65236--03/11/2023"
"208400","167684-Inspira Builder Llp Rep Prabhakar U R","Red","SHM","27/09/23","CfE-Fresh","Granted","217949","03/11/23","CTE-340368","CTE-340368","02/11/28","65234--03/11/2023"
"211744","180409-S Star Enterprises","Orange","MY1","30/10/23","HWM-Fresh","Granted","218713","03/11/23","340367","340367","30/09/29","65233--03/11/2023"
"191622","40257-Bavikatte Stone Ornaments","Orange","TMK","26/04/23","CfO-Renewal","Granted","214455","03/11/23","AW-340366","AW-340366","30/09/24","65232--03/11/2023"
"211959","82015-BSR Stone Crusher","Orange","CRG","31/10/23","CfE-Expand","Granted","218730","03/11/23","CTE-340364","CTE-340364","30/10/28","65230--03/11/2023"
"211557","76147-Annaiah Y.V.","Green","B05","03/11/23","CfO-Fresh","Granted","218826","03/11/23","W-125185","W-125185","31/12/37","65229--03/11/2023"
"211134","180833-R S Ventures","Green","B10","03/11/23","CfE-Fresh","Granted","218832","03/11/23","CTE-125184","CTE-125184","02/11/28","65228--03/11/2023"
"194478","149923-Swapna Shree Manjari by M/s. Swapna Builders","Green","B10","03/11/23","CfO-Fresh","Granted","218831","03/11/23","W-125183","W-125183","31/12/37","65227--03/11/2023"
"211215","76168-Cauvery Computerised Dry Wash","Orange","CRG","31/10/23","CfO-Renewal","Granted","218729","03/11/23","AW-340363","AW-340363","30/09/32","65226--03/11/2023"
"207036","82651-Hdbr Enterprises","Red","DHW","24/07/23","CfE-Expand","Granted","216575","03/11/23","CTE-340362","CTE-340362","03/11/28","65225--03/11/2023"
"209346","179008-Reftech International","Orange","MY2","03/10/23","CfE-Fresh","Granted","218743","03/11/23","CTE-340361","CTE-340361","02/10/28","65224--03/11/2023"
"210200","10117-ITC Limited, Agri Business Division","Orange","MY2","03/10/23","CfO-Expand","Granted","218754","03/11/23","AW-340360","AW-340360","30/09/31","65223--03/11/2023"
"207096","82652-Kgn Steels","Red","DHW","24/07/23","CfE-Expand","Granted","216576","03/11/23","CTE-340358","CTE-340358","03/11/28","65221--03/11/2023"
"210130","179920-M/s, Haag India","Green","B08","03/11/23","CfE-Fresh","Granted","218830","03/11/23","CTE-125182","CTE-125182","02/11/28","65220--03/11/2023"
"172547","16142-Indocor Pharma Pvt, Ltd.,","Orange","DHW","27/09/23","CfO-Renewal","Granted","218763","03/11/23","AW-340357","AW-340357","30/09/32","65219--03/11/2023"
"208749","178467-Zonal Agricultural Research Station","Green","GUL","14/09/23","CfO-Fresh","Granted","218757","03/11/23","AW-125181","AW-125181","31/12/37","65218--03/11/2023"
"206356","165698-Spg Systems","Red","CMR","21/08/23","CfE-Fresh","Granted","217138","03/11/23","CTE-340356","CTE-340356","03/11/28","65217--03/11/2023"
"194111","154384-Sunrise Industry","Red","BR3","27/06/23","CfE-Fresh","Granted","215869","03/11/23","CTE-340355","CTE-340355","02/11/28","65216--03/11/2023"
"205505","41089-Sankalp India Solutions Pvt. Ltd.,","Red","RMN","23/08/23","CfO-Renewal","Granted","217240","03/11/23","AW-340354","AW-340354","30/06/28","65215--03/11/2023"
"208968","133385-Excel Ventures","Green","B08","03/11/23","CfO-Fresh","Granted","218827","03/11/23","AW-125180","AW-125180","31/12/37","65213--03/11/2023"
"207447","41681-Ganapathi Enterprises","Red","KLR","22/08/23","HWM-Renewal","Granted","217219","03/11/23","340353","340353","30/06/28","65214--03/11/2023"
"172541","23405-Shri Balaji Enterprises","Orange","MNG","02/11/23","CfO-Renewal","Rejected","218781","03/11/23","AW-AW-125159Rejected","AW-AW-125159Rejected","","65212--03/11/2023"
"212101","153909-Saddles International Automotive Aviation Interiors Private Ltd","Green","RMN","03/11/23","CfO-Fresh","Granted","218824","03/11/23","AW-125179","AW-125179","31/12/37","65211--03/11/2023"
"211994","180385-Sln Industries","Green","CRG","03/11/23","CfE-Fresh","Granted","218820","03/11/23","CTE-125178","CTE-125178","02/11/28","65210--03/11/2023"
"172654","23403-Sri Balaji Refineries","Orange","MNG","02/11/23","CfO-Renewal","Rejected","218777","03/11/23","AW-AW-125159Rejected","AW-AW-125159Rejected","","65209--03/11/2023"
"206041","165926-Shree Aryadurga Enterprises","Orange","UDP","13/10/23","CfE-Fresh","Granted","218697","03/11/23","CTE-340352","CTE-340352","30/09/28","65208--03/11/2023"
"212272","181921-G R Infra Project Limited Ready Mix Plant","Green","RCH","30/10/23","CfO-Fresh","Granted","218808","03/11/23","AW-125177","AW-125177","31/12/26","65207--03/11/2023"
"206176","165576-Poly Smart","Green","B01","03/11/23","CfO-Fresh","Granted","218814","03/11/23","W-125176","W-125176","31/12/37","65206--03/11/2023"
"212239","181897-G R Infraprojects Limited","Green","RCH","30/10/23","CfO-Fresh","Granted","218809","03/11/23","AW-125175","AW-125175","31/12/26","65205--03/11/2023"
"190943","39170-Ms. Dynamatic Technologies Limited - Dynamatic Aerotropolis Division","Orange","B08","18/10/23","CfO-Renewal","Granted","218496","03/11/23","AW-340351","AW-340351","30/09/32","65204--03/11/2023"
"210740","18652-JSW Industrial Gases Pvt Ltd","Green","BLY","26/09/23","HWM-AutoRenewal","Granted","0","03/11/23","H-125175","H-125175","31/12/23","65203--03/11/2023"
"194059","152012-Valuedrive Technologies Private Limited","Orange","B08","07/10/23","CfO-Fresh","Granted","218215","03/11/23","AW-340350","AW-340350","30/09/32","65202--03/11/2023"
"206873","166462-Poornima Auto Engineers","Orange","BGK","29/09/23","CfO-Fresh","Granted","217971","03/11/23","A-340348","A-340348","30/09/32","65200--03/11/2023"
