"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"99726","85276-Evershine Dwellings Private Ltd","Orange","B02","02/03/20","CfO-Fresh","Granted","169760","07/03/20","AW-317512","AW-317512","30/09/29","28973--07/03/2020"
"100579","85631-Panchamukhi Appearls","Green","B09","07/03/20","CfO-Fresh","Granted","169882","07/03/20","AW-112880","AW-112880","31/12/34","28972--07/03/2020"
"100145","85606-Aisiri Food Pvt Ltd","Green","B09","07/03/20","CfE-Fresh","Granted","169881","07/03/20","CTE-112879","CTE-112879","06/03/25","28971--07/03/2020"
"98368","77968-Hubner Interface System India Private Limited","Orange","BR3","15/02/20","CfO-Fresh","Granted","169812","07/03/20","AW-317510","AW-317510","30/09/29","28969--07/03/2020"
"100847","86105-Shivganga Industries","Green","B09","07/03/20","CfO-Fresh","Granted","169884","07/03/20","AW-112878","AW-112878","31/12/34","28968--07/03/2020"
"97034","82859-Atlanta Electricals Pvt Ltd","Orange","BR2","20/02/20","CfE-Fresh","Granted","169539","07/03/20","CTE-317508","CTE-317508","07/03/25","28965--07/03/2020"
"100967","86080-Commercial Complex By M/s. Regent Properties Development","Green","B05","07/03/20","CfO-Renewal","Granted","169885","07/03/20","AW-112876","AW-112876","31/12/31","28964--07/03/2020"
"97596","83527-Sri Balaji Developers","Orange","B08","18/02/20","CfO-Fresh","Granted","169495","07/03/20","W-317507","W-317507","30/09/29","28963--07/03/2020"
"100261","85693-Bhavisha Properties Unit 1","Green","B02","01/03/20","CfE-Fresh","Granted","169737","07/03/20","CTE-317506","CTE-317506","28/02/25","28962--07/03/2020"
"100077","11557-Suprajith Automotive Private Ltd","Green","BR2","06/03/20","CfO-Expand","Granted","169876","07/03/20","AW-112875","AW-112875","31/12/22","28961--07/03/2020"
"100500","85651-Jyothi Food Products","Green","DHW","24/02/20","CfE-Fresh","Granted","169877","07/03/20","CTE-112874","CTE-112874","23/02/22","28960--07/03/2020"
"100104","85552-Bhavisha Properties","Red","B02","01/03/20","CfE-Fresh","Granted","169736","06/03/20","CTE-317497","CTE-317497","28/02/25","28931--06/03/2020"
"100789","86067-Shashank Srisrimal","Green","BR1","05/03/20","CfE-Fresh","Granted","169863","06/03/20","CTE-112853","CTE-112853","31/12/24","28929--06/03/2020"
"93918","34032-Nagalakshmi Electroplaters","Red","BR3","21/09/19","CfO-Expand","Granted","166557","06/03/20","AW-317495","AW-317495","30/06/20","28928--06/03/2020"
"98291","84194-Rashtreeya Sikhana Samithi Trust","Orange","B07","24/01/20","CfO-Fresh","Granted","169146","06/03/20","AW-317494","AW-317494","30/09/29","28927--06/03/2020"
"99617","85216-Mr Bhadra Reddy","Green","B07","05/03/20","CfO-Fresh","Granted","169833","06/03/20","AW-112852","AW-112852","31/12/34","28924--06/03/2020"
"100318","85707-Akshay Cement Concrete Products","Green","HVR","15/02/20","CfO-Fresh","Granted","169873","06/03/20","AW-112851","AW-112851","31/12/33","28923--06/03/2020"
"19431","28095-Shshruta Medical Aid And Research Hospital Ltd(Previously The Bangalore Hospital","Orange","B05","02/03/20","CfO-Expand","Granted","169758","06/03/20","AW-317491","AW-317491","30/09/20","28922--06/03/2020"
"100914","86154-Ab Auto Components Unit 2","Green","BR3","06/03/20","CfO-Fresh","Granted","169871","06/03/20","AW-112850","AW-112850","31/12/34","28921--06/03/2020"
"99297","84946-M/s. Chiranjeevi Cement Industries (Cement Grinding Unit)","Red","KPL","20/02/20","CfE-Fresh","Granted","169563","06/03/20","CTE-317490","CTE-317490","30/06/25","28920--06/03/2020"
"100870","86023-K A Sons Coconut Industries","Orange","MY2","04/03/20","CfE-Fresh","Granted","169829","06/03/20","CTE-317489","CTE-317489","03/03/25","28919--06/03/2020"
"97692","83580-Dynamatic Hydraulics (Unit I I) - A Division Of Dynamatic Technologies Limited","Orange","B11","20/12/19","HWM-Fresh","Granted","169799","06/03/20","317488","317488","30/09/24","28918--06/03/2020"
"100496","85482-Vanavihara Hotel","Green","CMR","06/03/20","CfO-Renewal","Granted","169870","06/03/20","AW-112849","AW-112849","31/12/35","28917--06/03/2020"
"100893","82451-R.S. Rock Sand","Orange","KLR","02/03/20","CfO-Renewal","Granted","169750","06/03/20","AW-317488","AW-317488","30/09/29",""
"100276","85718-Sabera Inks","Orange","BJR","04/03/20","CfO-Fresh","Granted","169801","06/03/20","AW-317487","AW-317487","30/09/29","28916--06/03/2020"
