"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"99509","80122-Bangalore Aggregated Industries","Orange","TMK","20/01/20","CfE-Expand","Granted","168918","28/02/20","CTE-317328","CTE-317328","30/09/24","28631--28/02/2020"
"100651","79261-M\s Ganesh Stone Crusher","Orange","CRG","19/02/20","CfO-Renewal","Granted","169537","28/02/20","AW-317327","AW-317327","30/09/29","28630--28/02/2020"
"99836","80955-Precision Engineering Works","Orange","MY1","20/02/20","CfO-Fresh","Granted","169567","28/02/20","AW-317326","AW-317326","30/09/29","28629--28/02/2020"
"98225","80887-The India Cements Limited","Green","B01","28/02/20","CfO-Fresh","Granted","169706","28/02/20","AW-112752","AW-112752","31/12/34","28626--28/02/2020"
"97265","80122-Bangalore Aggregated Industries","Orange","TMK","26/11/19","CfO-Renewal","Granted","167909","28/02/20","AW-317323","AW-317323","30/06/28","28621--28/02/2020"
"98581","83701-Mythri Plastics Industries","Green","B04","28/02/20","CfO-Fresh","Granted","169700","28/02/20","AW-112747","AW-112747","31/12/34","28620--28/02/2020"
"97430","83422-Co-Living Private Hostel Building By Zonasha Estate & Projects Private Limited","Red","B10","18/01/20","CfE-Fresh","Granted","168878","28/02/20","CTE-317322","CTE-317322","27/02/24","28619--28/02/2020"
"98733","84614-Trinity Electrical Industries (Unit Ii)","Green","B06","28/02/20","CfO-Fresh","Granted","169699","28/02/20","W-112746","W-112746","31/12/33","28618--28/02/2020"
"99692","84704-Ms Crr Press Tech","Green","BR2","28/02/20","CfE-Fresh","Granted","169695","28/02/20","CTE-112745","CTE-112745","27/02/19","28617--28/02/2020"
"99911","85413-Prasiddi Engineers","Green","B06","28/02/20","CfO-Renewal","Granted","169698","28/02/20","W-112744","W-112744","31/12/28","28616--28/02/2020"
"100465","85853-Sona Plastic","Green","B06","28/02/20","CfO-Fresh","Granted","169697","28/02/20","W-112742","W-112742","31/12/33","28614--28/02/2020"
"98336","84225-Innovent Spaces Pvt. Ltd","Red","B10","09/01/20","CfO-Fresh","Granted","168677","28/02/20","AW-317321","AW-317321","30/06/24","28613--28/02/2020"
"100640","75798-Hone Brite Industries","Green","B06","28/02/20","CfO-Fresh","Granted","169696","28/02/20","W-112740","W-112740","31/12/33","28611--28/02/2020"
"100236","85650-Metal Letters India Unit 2","Green","B06","13/02/20","CfO-Fresh","Granted","169694","28/02/20","AW-112739","AW-112739","31/12/33","28610--28/02/2020"
"99153","84889-Samhita Constructions - amhita Elite(CFE obtained name of A & T Value Projects)","Orange","B10","24/01/20","CfO-Fresh","Granted","169008","28/02/20","W-317320","W-317320","30/09/29","28609--28/02/2020"
"99166","84934-Saritha Developers [residential Apartment]","Orange","B10","24/01/20","CfE-Fresh","Granted","169009","28/02/20","CTE-317319","CTE-317319","23/01/25","28608--28/02/2020"
"99854","24130-ITW India Pvt Ltd., (BISS) (Former Bangalore Integrated System Solutions P Ltd)","Green","B11","26/02/20","HWM-Renewal","Granted","169693","28/02/20","112738","112738","31/12/23","28607--28/02/2020"
"99860","85349-Montrose Golf Resort And Spa","Orange","CRG","29/01/20","CfE-Fresh","Granted","169087","28/02/20","CTE-317318","CTE-317318","28/01/25","28606--28/02/2020"
"100568","85918-Rns Cnc Centre","Green","B11","28/02/20","CfO-Fresh","Granted","169692","28/02/20","W-112737","W-112737","31/12/34","28604--28/02/2020"
"98931","84739-Kolte Patil Developers Limited","Red","B10","24/01/20","CfO-Fresh","Granted","169006","28/02/20","AW-317316","AW-317316","30/06/21","28603--28/02/2020"
"100021","85484-Bhumika Agro Bio Tech","Green","BR3","15/02/20","CfO-Fresh","Granted","169516","28/02/20","AW-112736","AW-112736","31/12/30","28602--28/02/2020"
"98484","83269-M\s. Ahad Builders Pvt Ltd - Ahad Excellencia","Red","B10","09/01/20","CfO-Fresh","Granted","168678","28/02/20","A-317314","A-317314","30/06/24","28600--28/02/2020"
"99210","22103-Sri,Sushanth Stone Crusher","Orange","DVG","06/01/20","CfO-Renewal","Granted","168611","28/02/20","AW-317313","AW-317313","30/09/29","28599--28/02/2020"
"100535","84859-Parvathi Industries","Green","BR3","25/02/20","CfE-Fresh","Granted","169689","28/02/20","CTE-112735","CTE-112735","24/02/25","28597--28/02/2020"
"98720","80088-Golden Rocks","Orange","CRG","30/12/19","CfE-Expand","Granted","168691","28/02/20","CTE-317311","CTE-317311","29/12/24","28596--28/02/2020"
"95493","37931-Amazon Seller Services Private Limited","Orange","BR1","18/09/19","CfE-Expand","Granted","168763","28/02/20","CTE-317309","CTE-317309","17/09/24","28594--28/02/2020"
"98960","41292-Sri Sathya Sai Gokulam Dairy Products","Red","CMR","23/01/20","CfE-Fresh","Granted","168955","28/02/20","CTE-317307","CTE-317307","22/01/25","28592--28/02/2020"
"97652","35676-Kapci Coating India Pvt. Ltd.,","Orange","BR2","20/02/20","CfO-Fresh","Granted","169541","28/02/20","AW-317306","AW-317306","30/09/29","28591--28/02/2020"
"98673","28068-Orient Cement Limited (Mines)","Red","GUL","17/12/19","CfO-Renewal","Granted","168262","27/02/20","AW-317304","AW-317304","31/03/25","28589--27/02/2020"
