"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"21064","33143-Hasanamba Water Industries","Green","HAS","17/04/17","CfE-Fresh","Granted","88424","18/04/17","CTE-104005","CTE-104005","30/06/21","4767--18/04/2017"
"20828","26896-Shri Shaakthi Granite","Green","CKB","18/04/17","CfO-Fresh","Granted","88435","18/04/17","AW-104004","AW-104004","30/06/21","4766--18/04/2017"
"19916","16093-Synergy Lifestyles Pvt.Ltd","Green","B02","13/04/17","CfO-Renewal","Granted","88406","18/04/17","AW-104003","AW-104003","30/06/21","4765--18/04/2017"
"19621","21386-Saa Ab Engineering Pvt Ltd","Green","B02","15/04/17","CfO-Renewal","Granted","88419","18/04/17","AW-104002","AW-104002","30/06/21","4764--18/04/2017"
"20890","33099-Green View Clarks Inn A Unit Of Saanvi Associates","Orange","SHM","25/03/17","CfO-Renewal","Granted","88317","18/04/17","AW-302468","AW-302468","30/06/21","4763--18/04/2017"
"20286","32376-Hotel Samanvi International","Green","HAS","17/04/17","CfO-Fresh","Granted","88421","18/04/17","AW-104001","AW-104001","30/06/21","4762--18/04/2017"
"20394","32803-Shree Standard Aqua Minerals (Grr) Industry","Green","RCH","14/03/17","CfO-Fresh","Granted","88429","18/04/17","AW-104000","AW-104000","30/06/21","4761--18/04/2017"
"13216","11023-Himatsingka Linens,","Red","HAS","03/05/16","CfO-Re Apply","Granted","83648","17/04/17","AW-302467","AW-302467","30/06/21","4760--17/04/2017"
"13174","10232-TVS Motor Company Limited","Red","MY1","13/05/16","CfO-Renewal","Granted","83843","17/04/17","AW-302466","AW-302466","30/06/21","4759--17/04/2017"
"19382","10825-Kems Forging Ltd, Unit-2","Orange","B02","31/03/17","CfO-Renewal","Granted","88311","17/04/17","AWH-302465","AWH-302465","30/06/21","4758--17/04/2017"
"20773","32996-Quality Treaters","Green","B07","11/04/17","CfO-Fresh","Granted","88394","17/04/17","W-103999","W-103999","30/06/21","4757--17/04/2017"
"21126","33270-Xgn_Test_Case 06042017","Green","KPL","06/04/17","CfE-Fresh","Granted","88373","17/04/17","CTE-103998","CTE-103998","30/06/21","4756--17/04/2017"
"20043","13594-Kalki Ayurveda Pharmacy","Orange","B10","25/03/17","CfO-Fresh","Granted","88248","17/04/17","W-302464","W-302464","30/06/21","4755--17/04/2017"
"19631","20405-Eswari Global Metal Industrie Pvt Ltd","Red","MNG","03/02/17","CfE-Expand","Granted","87608","17/04/17","CTE-302463","CTE-302463","30/06/21","4754--17/04/2017"
"20870","33002-Ambica Plast","Green","B06","12/04/17","CfO-Fresh","Granted","88395","17/04/17","W-103997","W-103997","30/06/21","4753--17/04/2017"
"20562","32893-Sln Agro Polymer","Green","B06","15/04/17","CfO-Fresh","Granted","88422","17/04/17","W-103996","W-103996","30/06/21","4752--17/04/2017"
"18832","31718-Shree Ponni Lead Alloy Pvt Ltd","Red","RMN","10/01/17","CfO-Fresh","Granted","87365","17/04/17","AW-302462","AW-302462","30/06/21","4751--17/04/2017"
"17330","30686-Shree Nidhi Iron Ore Mines Of M\s. R.Charu Chandra","Red","BLY","22/08/16","CfO-Renewal","Granted","85613","17/04/17","AW-302461","AW-302461","30/06/21","4750--17/04/2017"
"20303","19965-Dharmapura Iron Ore Mine of Sri. V. N. K. Menon","Red","BLY","23/02/17","CfO-Renewal","Granted","87941","17/04/17","AW-302460","AW-302460","30/06/21","4749--17/04/2017"
"20620","19804-Biligiri Marine Products","Orange","KWR","15/03/17","CfO-Renewal","Granted","88107","15/04/17","W-302459","W-302459","30/06/21","4748--15/04/2017"
"20280","26640-Surabhi Feeds","Orange","UDP","02/03/17","CfO-Fresh","Granted","87954","15/04/17","AW-302458","AW-302458","30/06/21","4747--15/04/2017"
"21023","33196-Xgn_Test_Lo_31_03_2017","Orange","B11","31/03/17","CfE-Expand","Granted","88308","15/04/17","CTE-302457","CTE-302457","30/06/21","4746--15/04/2017"
"14013","12284-Squad Forging India Pvt Ltd.","Orange","BE2","09/09/16","CfO-Renewal","Granted","85880","13/04/17","AW-302456","AW-302456","30/06/21","4745--13/04/2017"
"19232","13556-The South India Paper Mills Ltd.","Red","MY2","04/01/17","CfO-Renewal","Granted","87238","13/04/17","AW-302455","AW-302455","30/06/21","4744--13/04/2017"
"20781","33039-Sri Rama Rice Mill","Green","CKM","05/04/17","CfO-Renewal","Granted","88409","13/04/17","AW-103995","AW-103995","30/06/21","4743--13/04/2017"
"20780","33036-Sri Rama Coffee Huller","Green","CKM","05/04/17","CfO-Fresh","Granted","88408","13/04/17","AW-103994","AW-103994","30/06/21","4742--13/04/2017"
"20279","32307-Ambika Saw Mill","Green","CKM","22/02/17","CfO-Renewal","Granted","88407","13/04/17","AW-103993","AW-103993","30/06/21","4741--13/04/2017"
"20292","11690-Accelerated Freeze Drying Company Limited,","Orange","B01","06/04/17","CfE-Expand","Granted","88366","13/04/17","CTE-302454","CTE-302454","30/06/21","4740--13/04/2017"
"14014","19695-Aerospace Processing India Pvt Ltd.","Red","BE2","09/09/16","CfO-Renewal","Granted","85878","13/04/17","AW-302453","AW-302453","30/06/21","4739--13/04/2017"
"20033","32549-National Seeds Corporation","Green","RCH","17/03/17","CfO-Fresh","Granted","88405","13/04/17","W-103992","W-103992","30/06/21","4738--13/04/2017"
"18067","10999-Lincoln Helios (India) Ltd.,","Orange","B10","23/02/17","CfO-Renewal","Granted","87829","13/04/17","AW-302452","AW-302452","30/06/21","4737--13/04/2017"
"19145","21912-C S Aerotherm Private Limited","Orange","B02","27/02/17","CfO-Renewal","Granted","87847","13/04/17","AW-302451","AW-302451","30/06/21","4736--13/04/2017"
"18661","18337-Suguna Foods Private Limited","Orange","BR1","24/03/17","CfO-Renewal","Granted","88189","13/04/17","AW-302450","AW-302450","30/06/21","4735--13/04/2017"
"19734","30273-Safa Foods Products Private Limited","Orange","KLR","22/02/17","CfE-Expand","Granted","87789","13/04/17","CTE-302449","CTE-302449","30/06/21","4734--13/04/2017"
"17425","25854-Neumatica Technologies Pvt Ltd.,","Green","B11","05/01/17","CfO-Fresh","Granted","87761","12/04/17","W-103991","W-103991","30/06/21","4733--12/04/2017"
"15404","11964-Hassan Co-Operative Milk Producers Societies Union Ltd.,","Red","HAS","18/10/16","CfO-Renewal","Granted","86379","12/04/17","AW-302448","AW-302448","30/06/21","4732--12/04/2017"
"14590","10122-Rane (Madras) Ltd","Red","MY2","29/11/16","CfO-Renewal","Granted","86859","12/04/17","AWH-302447","AWH-302447","30/06/21","4731--12/04/2017"
"19718","31683-Quest Informatics Pvt. Ltd.,","Green","B04","05/04/17","CfO-Renewal","Granted","88361","12/04/17","AW-103990","AW-103990","30/06/21","4730--12/04/2017"
"19054","31877-Sharada Design Pvt. Ltd.,","Green","B04","12/04/17","CfO-Fresh","Granted","88399","12/04/17","AW-103989","AW-103989","30/06/21","4729--12/04/2017"
"16238","10257-Ms. Kudremukh Iron Ore Company Limited (Blast Furnace Unit)","Red","MNG","07/10/16","CfO-Renewal","Granted","86393","12/04/17","AW-302446","AW-302446","30/06/21","4728--12/04/2017"
"20195","32408-Mandovi Motors Pvt.,Ltd.,","Orange","B03","24/03/17","CfO-Fresh","Granted","88199","12/04/17","AW-302445","AW-302445","30/06/21","4727--12/04/2017"
"18874","16585-Meenakshi Hospital (Formerly K R Hospital)","Orange","B05","28/03/17","CfO-Renewal","Granted","88256","12/04/17","AW-302444","AW-302444","30/06/21","4726--12/04/2017"
"14300","11486-I-Aim Health Care Centre","Orange","B08","07/05/16","CfO-Renewal","Granted","83721","12/04/17","AW-302443","AW-302443","30/06/21","4725--12/04/2017"
"20573","32918-Kanmech Private Limited","Green","KLR","04/04/17","CfE-Fresh","Granted","88340","12/04/17","CTE-302442","CTE-302442","30/06/21","4724--12/04/2017"
"20760","29374-Manasa Bharani Hospital (Previously Bharani Hospital )","Orange","KLR","04/04/17","CfO-Renewal","Granted","88339","12/04/17","AW-302441","AW-302441","30/06/21","4723--12/04/2017"
"20179","32625-Sri Sreenidhi Samrudhi Cold Storage Pvt Limited","Green","MY2","03/04/17","CfE-Fresh","Granted","88335","12/04/17","CTE-103988","CTE-103988","30/06/21","4722--12/04/2017"
"20651","25373-Sunrays Composts","Green","RMN","22/03/17","CfO-Fresh","Rejected","88267","12/04/17","W-Rejected","W-Rejected","",""
"20655","32956-G.V.K.Residency","Green","HAS","25/03/17","CfO-Fresh","Granted","88221","11/04/17","AW-103987","AW-103987","30/06/21","4721--11/04/2017"
"15831","10747-Bpl India Ltd","Red","BR2","31/08/16","CfO-Renewal","Granted","86079","11/04/17","AWH-302440","AWH-302440","30/06/21","4720--11/04/2017"
"19608","12694-Sireesh Auto Pvt. Ltd.,","Orange","B08","27/03/17","CfO-Renewal","Granted","88235","11/04/17","AW-302439","AW-302439","30/06/21","4719--11/04/2017"
"18897","22927-Ms.BBH Iron Ore Mine of Ms Mineral Enterprises Pvt. Ltd.","Red","CDG","27/02/17","CfO-Renewal","Granted","87845","11/04/17","AW-302438","AW-302438","30/06/21","4718--11/04/2017"
"20497","32824-R K Minerals","Red","BGK","09/03/17","CfO-Renewal","Granted","87997","11/04/17","AW-302437","AW-302437","30/06/21","4717--11/04/2017"
"20843","31947-Sri Maalarasi Granites","Green","BR1","11/04/17","CfO-Renewal","Granted","88392","11/04/17","W-103986","W-103986","30/06/21","4716--11/04/2017"
"20917","33077-Anjeneya Swamy Granites","Green","BR1","10/04/17","CfE-Fresh","Granted","88383","11/04/17","CTE-103985","CTE-103985","30/06/21","4715--11/04/2017"
"20011","29385-Shri Durga Food Products","Orange","KWR","08/02/17","CfO-Fresh","Granted","88025","10/04/17","AW-302436","AW-302436","30/06/21","4714--10/04/2017"
"19771","32265-Alupa Foods Private Limited","Orange","UDP","21/03/17","CfE-Fresh","Granted","88101","10/04/17","CTE-302435","CTE-302435","30/06/21","4713--10/04/2017"
"20592","32902-Karnataka Agencies","Orange","MNG","31/03/17","CfO-Fresh","Granted","88315","10/04/17","AW-302434","AW-302434","30/06/21","4712--10/04/2017"
"20372","31978-Srikara Enterprises","Red","BR2","08/03/17","CfO-Fresh","Granted","87957","10/04/17","AW-302433","AW-302433","30/06/21","4711--10/04/2017"
