"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"142821","119404-Shivas Gateway","Orange","B08","11/04/22","CfO-Renewal","Granted","195326","09/05/22","AW-331183","AW-331183","30/09/31","50457--09/05/2022"
"143581","119157-Nakoda Petrochemicals","Orange","BR3","30/03/22","CfE-Fresh","Granted","195108","09/05/22","CTE-331182","CTE-331182","29/03/27","50456--09/05/2022"
"164788","130527-Intent Infotech Pvt Ltd","Green","BR2","09/05/22","CfE-Fresh","Granted","205803","09/05/22","CTE-119872","CTE-119872","08/05/27","50455--09/05/2022"
"165240","130843-Sammys Dreamland Pvt Ltd","Green","B08","09/05/22","CfE-Fresh","Granted","205804","09/05/22","CTE-119871","CTE-119871","08/05/27","50454--09/05/2022"
"130478","107521-Sobha Zircon Apartment Owners Association","Orange","B08","06/04/22","CfO-Renewal","Granted","195258","09/05/22","A-331181","A-331181","30/09/31","50453--09/05/2022"
"165103","84945-Brigade Senate-I(Phase-II)","Orange","B08","27/04/22","CfO-Expand","Granted","205561","09/05/22","AW-331179","AW-331179","30/09/29","50451--09/05/2022"
"165921","131256-Kanisha White Palace","Green","B08","09/05/22","CfE-Fresh","Granted","205784","09/05/22","CTE-119870","CTE-119870","08/05/27","50450--09/05/2022"
"126129","20093-Hassan Co-Operative Milk Producers Union Limited(Milk Chilling Center,C.R.Patna)","Orange","HAS","28/04/22","CfO-Renewal","Granted","205603","09/05/22","AW-331178","AW-331178","30/09/31","50449--09/05/2022"
"124399","85930-Nxtra Data Limited","Orange","B10","02/07/21","HWM-AutoRenewal","Granted","0","09/05/22","H-119870","H-119870","30/09/30","50448--09/05/2022"
"164881","130595-Sri Malali Sudhaivi Wood Industries","Green","HAS","07/05/22","CfE-Fresh","Granted","205789","09/05/22","CTE-119868","CTE-119868","06/05/27","50446--09/05/2022"
"143731","119928-Jwala Mala Sdp Plant","Red","MY2","18/03/22","CfE-Fresh","Granted","195153","09/05/22","CTE-331176","CTE-331176","09/05/27","50445--09/05/2022"
"128431","29686-M\s Aero Treatments Pvt Ltd","Red","TMK","15/11/21","HWM-Fresh","Granted","191736","09/05/22","331172","331172","30/06/26","50441--09/05/2022"
"103149","22733-Bangalore Incinerators Pvt Ltd","Red","TMK","24/08/21","HWM-Renewal","Granted","189655","09/05/22","331171","331171","30/06/24","50438--09/05/2022"
"154591","120429-Trinadha Reddy And Others Iswarya Farms","Green","RMN","07/05/22","CfO-Fresh","Granted","205778","07/05/22","AW-119865","AW-119865","31/12/35","50437--07/05/2022"
"165809","33744-M/s. Akshra Motors Pvt. Ltd.","Orange","B04","30/04/22","CfO-Renewal","Granted","205646","07/05/22","AW-331170","AW-331170","30/09/31","50436--07/05/2022"
"166106","131406-M/s. Akshara Motors Private Limited","Orange","B04","30/04/22","CfO-Fresh","Granted","205638","07/05/22","AW-331169","AW-331169","30/09/31","50435--07/05/2022"
"165483","87352-Trident Auto Enterprises Private Limited","Orange","B04","30/04/22","CfO-Fresh","Granted","205647","07/05/22","AW-331168","AW-331168","30/09/31","50434--07/05/2022"
"165746","18070-Fine Components & Tools Pvt. Ltd., Unit-1","Green","B02","07/05/22","CfE-Expand","Granted","205779","07/05/22","CTE-119864","CTE-119864","06/05/26","50433--07/05/2022"
"165965","131260-M/s. Nahata Petrotech LLP","Orange","B05","21/04/22","CfO-Renewal","Granted","195469","07/05/22","W-331167","W-331167","30/09/31","50431--07/05/2022"
"164966","105461-Wabtec India Industrial Pvt Ltd","Green","B10","29/04/22","CfO-Fresh","Granted","205610","07/05/22","AW-119862","AW-119862","31/12/36","50429--07/05/2022"
"165729","29593-Gopalan Enterprises India Pvt Ltd (3- Monkeys),","Orange","B03","25/04/22","CfO-Renewal","Granted","205519","07/05/22","W-331166","W-331166","30/09/32","50430--07/05/2022"
"127021","20376-R .R Fashions","Orange","B04","17/03/22","HWM-Fresh","Granted","194800","07/05/22","331165","331165","30/09/26","50428--07/05/2022"
"165680","130675-Karnataka Tyres And Services","Orange","SHM","20/04/22","CfO-Renewal","Granted","205597","07/05/22","AW-331164","AW-331164","30/09/31","50427--07/05/2022"
"164981","130674-Rainland Autocorp Private Limited","Orange","SHM","27/04/22","CfO-Fresh","Granted","205637","07/05/22","AW-331163","AW-331163","30/09/25","50426--07/05/2022"
"142343","76660-Mky Alloys","Orange","TMK","11/04/22","CfE-Expand","Granted","195365","07/05/22","CTE-331162","CTE-331162","10/04/27","50425--07/05/2022"
"165410","81698-Siri Group","Green","B01","07/05/22","CfO-Fresh","Granted","205769","07/05/22","AW-119861","AW-119861","31/12/36","50424--07/05/2022"
"143388","119721-Vrl Media Private Limited Shivamoga","Orange","SHM","19/03/22","CfO-Renewal","Granted","205591","07/05/22","AW-331161","AW-331161","30/09/31","50423--07/05/2022"
"144026","120086-Unity Motors","Orange","B04","01/04/22","CfO-Fresh","Granted","195194","07/05/22","AW-331160","AW-331160","30/09/31","50422--07/05/2022"
"143254","31431-Tadimety Aromatics Pvt Ltd","Orange","TMK","31/03/22","CfE-Expand","Granted","195405","07/05/22","CTE-331159","CTE-331159","30/03/27","50421--07/05/2022"
"166253","101605-ARG Steel and Power Private Limited","Orange","BLY","07/05/22","CfO-Fresh","Granted","205771","07/05/22","AW-331158","AW-331158","30/09/31","50420--07/05/2022"
"131013","39954-Hi Tech Forging (Bangalore) Pvt.Ltd","Orange","B11","01/04/22","CfO-Renewal","Granted","195209","07/05/22","AW-331157","AW-331157","30/09/31","50419--07/05/2022"
"164996","105030-Ms K2K Infrastructure India Pvt Ltd","Green","B07","07/05/22","CfO-Fresh","Granted","205756","07/05/22","AW-119860","AW-119860","31/12/24","50418--07/05/2022"
"164922","80540-Ms. Sasmos Het Technologies","Green","BR1","27/04/22","CfE-Expand","Granted","205629","07/05/22","CTE-119859","CTE-119859","30/09/23","50417--07/05/2022"
"165421","130985-Aayat","Green","BE1","07/05/22","CfE-Fresh","Granted","205768","07/05/22","CTE-119855","CTE-119855","06/05/27","50413--07/05/2022"
"164706","120493-Aarna Projects","Green","B10","27/04/22","CfE-Fresh","Granted","205582","07/05/22","CTE-119853","CTE-119853","17/04/27","50411--07/05/2022"
"164702","119826-M/s. H M Constructions","Orange","B10","05/04/22","CfE-Fresh","Granted","195242","07/05/22","CTE-331156","CTE-331156","04/04/27","50410--07/05/2022"
"165223","130864-Alpha Tocol Engineering Services Pvt Ltd","Green","B11","06/05/22","CfO-Renewal","Granted","205732","07/05/22","AW-119852","AW-119852","31/12/23","50409--07/05/2022"
"141810","12926-Watchdata Technologies (India) Pvt Ltd.,","Green","B10","07/05/22","CfO-Renewal","Granted","205763","07/05/22","AW-119851","AW-119851","31/12/36","50408--07/05/2022"
"166167","30203-Anjaneya Stone Crusher","Orange","KLR","04/05/22","CfO-Renewal","Granted","205705","07/05/22","AW-331155","AW-331155","30/09/31","50407--07/05/2022"
"141539","105249- Almora Botanica","Green","B10","30/04/22","CfE-Fresh","Granted","205737","07/05/22","CTE-119850","CTE-119850","06/05/25","50406--07/05/2022"
"143432","119255-SS Enterprises","Orange","MY1","17/02/22","PWM-Fresh","Rejected","194155","07/05/22","119769Rejected","119769Rejected","","50405--07/05/2022"
"143988","38074-The Best Polymers","Orange","MY1","21/04/22","PWM-Renewal","Rejected","205530","07/05/22","119769Rejected","119769Rejected","","50404--07/05/2022"
"143885","83828-Karnataka Petro Tech","Orange","B09","19/03/22","PWM-Fresh","Rejected","194853","07/05/22","119452Rejected","119452Rejected","","50403--07/05/2022"
"129963","107380-Unifuds India Pvt Ltd","Orange","B10","15/12/21","CfO-Fresh","Granted","205508","07/05/22","AW-331154","AW-331154","30/09/31","50402--07/05/2022"
"143257","31872-Sri Rajarajeshwari Hospital","Orange","CRG","04/05/22","CfO-Renewal","Granted","205700","06/05/22","AW-331153","AW-331153","30/09/31","50401--06/05/2022"
"165906","131251-Indian Estate Crystal City Residential Layout By K A Anil Kumar","Orange","MY1","22/04/22","CfE-Fresh","Granted","205726","06/05/22","CTE-331152","CTE-331152","21/04/27","50400--06/05/2022"
"165528","30806-Kwality Animal Feeds Pvt Ltd (Unit-Iii)","Orange","BE1","30/04/22","CfO-Renewal","Granted","205648","06/05/22","AW-331151","AW-331151","30/09/31","50399--06/05/2022"
"166043","130969-Shubhalaxmi","Orange","KWR","29/04/22","CfE-Fresh","Granted","205623","06/05/22","CTE-331150","CTE-331150","05/05/27","50398--06/05/2022"
"166048","131181-Landmark Galaxy","Orange","KWR","29/04/22","CfE-Fresh","Granted","205624","06/05/22","CTE-331149","CTE-331149","05/05/27","50397--06/05/2022"
"166295","130731-Briqburn Private Limited","Green","DVG","05/05/22","CfO-Fresh","Granted","205743","06/05/22","W-119849","W-119849","31/12/21","50395--06/05/2022"
"165390","13475-Sharada Minerals Industries (Lime stone & dolomite crusher)","Orange","BGK","05/05/22","CfE-Expand","Granted","205729","06/05/22","CTE-331148","CTE-331148","04/05/27","50396--06/05/2022"
"165822","130770-Manickbag Automobiles Pvt Ltd","Orange","KWR","29/04/22","CfE-Fresh","Granted","205622","06/05/22","CTE-331146","CTE-331146","05/05/27","50393--06/05/2022"
"124731","104814-Rupa And Company Limited","Green","B07","05/10/21","CfO-Fresh","Granted","192079","06/05/22","AW-119848","AW-119848","31/12/35","50391--06/05/2022"
"164906","130623-Surya Builders","Green","B07","26/04/22","CfE-Fresh","Granted","205537","06/05/22","CTE-119847","CTE-119847","25/04/27","50390--06/05/2022"
"130476","74755-Shambulingeshwara Stone Crusher,","Orange","HAS","13/04/22","CfO-Renewal","Granted","195367","06/05/22","AW-331142","AW-331142","30/09/31","50387--06/05/2022"
"130768","103078-Chamundi Stone Crusher","Orange","UDP","26/04/22","CfO-Renewal","Granted","205551","06/05/22","AW-331140","AW-331140","30/09/28","50385--06/05/2022"
"113010","103673-Hegde Cashews","Orange","UDP","07/03/22","CfO-Fresh","Granted","205611","06/05/22","AW-331138","AW-331138","30/09/30","50383--06/05/2022"
"165897","131152-Dhanalakshmi Industries","Green","CKB","06/05/22","CfE-Fresh","Granted","205741","06/05/22","CTE-119846","CTE-119846","05/05/24","50382--06/05/2022"
"143474","119782-Munibhyrappa And Mc Chandra","Red","B10","17/02/22","CfO-Fresh","Granted","193989","06/05/22","W-331137","W-331137","30/06/26","50381--06/05/2022"
"130290","107751-Tarun Breeding Farm","Orange","CKB","27/04/22","CfE-Fresh","Granted","205580","06/05/22","CTE-331136","CTE-331136","26/04/27","50380--06/05/2022"
"142448","119040-Oceanus Dwellings Pvt Ltd","Red","B10","07/02/22","CfO-Fresh","Granted","193760","06/05/22","W-331135","W-331135","30/06/26","50379--06/05/2022"
