"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"191920","10160-M P P Technologies Pvt Ltd","Orange","TMK","22/09/23","HWM-Renewal","Granted","217866","15/10/23","340047","340047","30/09/24","64727--15/10/2023"
"207251","166845-G. R. Rudresh developed By Siddi Vinayaka Developers","Orange","SHM","27/09/23","CfE-Fresh","Granted","217946","15/10/23","CTE-340046","CTE-340046","26/09/28","64726--15/10/2023"
"208438","63820-Karnataka Jelly Crusher","Orange","TMK","11/10/23","CfO-Renewal","Granted","218401","15/10/23","AW-340045","AW-340045","30/09/32","64725--15/10/2023"
"178220","35495-Saketh Automobiles","Orange","TMK","20/04/23","CfO-Renewal","Granted","216482","15/10/23","AW-340044","AW-340044","30/09/31","64724--15/10/2023"
"210972","22295-Basavaraja Rice Tech","Orange","DVG","07/10/23","CfO-Renewal","Granted","218243","15/10/23","AW-340043","AW-340043","30/09/28","64723--15/10/2023"
"205620","34368-TMEIC Industrial Systems India Pvt Ltd","Orange","TMK","14/09/23","HWM-Renewal","Granted","217864","15/10/23","340042","340042","30/09/27","64722--15/10/2023"
"206624","166334-Professional Global Construction Pvt Ltd","Orange","CDG","26/09/23","CfO-Renewal","Granted","217918","15/10/23","AWH-340041","AWH-340041","30/09/24","64721--15/10/2023"
"206906","166559-Pushpa Roto Printers","Orange","TMK","07/09/23","CfE-Expand","Granted","218060","13/10/23","CTE-340040","CTE-340040","06/09/28","64720--13/10/2023"
"211721","154732-Sujala Beverages","Green","RCH","13/10/23","CfE-Expand","Granted","218405","13/10/23","CTE-125011","CTE-125011","12/10/28","64719--13/10/2023"
"172930","11041-Vishwakarma Refractories Private Limited","Orange","KLR","20/10/22","HWM-AutoRenewal","Granted","0","13/10/23","H-125011","H-125011","30/09/30","64718--13/10/2023"
"192611","33268-Ador Fontech Limited, Unit-II","Orange","B11","21/08/23","HWM-Renewal","Granted","217153","13/10/23","340039","340039","30/09/27","64716--13/10/2023"
"193771","154118-Galaxy Hydraulics Private Limited","Orange","B11","07/10/23","CfE-Fresh","Granted","218234","13/10/23","CTE-340038","CTE-340038","06/10/28","64715--13/10/2023"
"210625","180372-Adishri Groupon Private Limited","Green","BJR","13/10/23","CfE-Fresh","Granted","218402","13/10/23","CTE-125008","CTE-125008","12/10/28","64714--13/10/2023"
