"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"26957","37152-V. I. Angadi, Shri Gurukrupa Granites,","Green","GDG","23/12/17","CfO-Renewal","Granted","92068","23/12/17","W-105296","W-105296","31/12/27","8253--23/12/2017"
"27127","37631-Shri Karigudda Anjneya Hallow Blocks","Green","YDG","22/12/17","CfE-Fresh","Granted","92047","22/12/17","CTE-105295","CTE-105295","21/12/19","8252--22/12/2017"
"27190","37615-Shree Sugureshwara Constructions","Green","RCH","22/12/17","CfO-Fresh","Granted","92064","22/12/17","W-105294","W-105294","31/12/26","8251--22/12/2017"
"26512","35563-Sri Basaveshwara Indutries","Green","CDG","30/11/17","CfO-Renewal","Granted","91877","22/12/17","AW-105293","AW-105293","31/12/25","8250--22/12/2017"
"26519","36542-M\s. Samarka Bioscience, No. 50, 3rd Cross, N.N. Industrial Estate, Beretena Agr","Green","B07","21/12/17","CfO-Fresh","Granted","92039","22/12/17","W-105292","W-105292","31/12/26","8249--22/12/2017"
"18807","31605-Supra Garments","Green","B09","09/11/17","CfO-Fresh","Granted","91525","22/12/17","AW-105291","AW-105291","31/12/26","8248--22/12/2017"
"26403","35329-Jmc Projects (I) Ltd., (in the premises of SJR Prime Corporation Pvt. ltd.,)","Green","B10","22/12/17","CfO-Fresh","Granted","92050","22/12/17","AW-105290","AW-105290","31/12/20","8247--22/12/2017"
"26696","37119-Yumna Traders","Green","BR1","05/12/17","CfO-Fresh","Granted","92019","22/12/17","W-105289","W-105289","31/12/26","8246--22/12/2017"
"26381","34268-Canara Minerals","Green","B01","21/12/17","CfO-Fresh","Granted","92036","22/12/17","AW-105288","AW-105288","31/12/26","8245--22/12/2017"
"26373","36648-Rks Infratech Pvt Ltd","Green","B01","21/12/17","CfO-Fresh","Granted","92031","22/12/17","AW-105287","AW-105287","31/12/26","8244--22/12/2017"
