"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"30716","38174-M\s Mahalaxmi Granites","Green","MY2","03/05/18","CfO-Renewal","Granted","94658","15/05/18","W-106474","W-106474","31/12/27","10946--15/05/2018"
"26806","37182-M/s Minaxi Stone Impex Pvt Ltd( Formerly Ridhi Sidhi Granite)","Green","MY2","03/05/18","CfO-Renewal","Granted","94656","15/05/18","W-106473","W-106473","31/12/27","10945--15/05/2018"
"23106","29807-Shahi Exports Pvt Ltd- KPD","Red","SHM","03/11/17","CfE-Expand","Granted","93262","15/05/18","CTE-306179","CTE-306179","30/06/21","10944--15/05/2018"
"29631","38183-Sri Jagdamba Granites (Formerly Prestige Granites)","Green","MY2","03/05/18","CfO-Renewal","Granted","94657","15/05/18","W-106472","W-106472","31/12/27","10943--15/05/2018"
"26238","13559-I G Workshop","Orange","B10","09/04/18","CfO-Renewal","Granted","94100","15/05/18","AW-306178","AW-306178","30/09/22","10942--15/05/2018"
"29223","22486-Mahamaya Tyres","Green","KWR","21/04/18","CfO-Renewal","Granted","94374","15/05/18","AW-106471","AW-106471","31/12/23","10941--15/05/2018"
"19202","31813-Wisco Elastomers","Orange","BR3","21/12/16","CfE-Fresh","Granted","87229","15/05/18","CTE-306177","CTE-306177","30/09/20","10940--15/05/2018"
"30259","39357-Surface Technology","Green","B10","03/05/18","CfO-Fresh","Granted","94674","15/05/18","W-106470","W-106470","31/12/27","10939--15/05/2018"
"24524","19633-Praxair India Pvt Ltd","Green","BR1","15/05/18","CfO-Renewal","Rejected","94870","15/05/18","AW-Rejected","AW-Rejected","",""
"31148","40560-Sri Sai Mini Rice Mill","Green","RCH","15/05/18","CfE-Fresh","Granted","94869","15/05/18","CTE-106469","CTE-106469","14/05/20","10938--15/05/2018"
"31149","40561-H.K. Mini Rice Mill","Green","RCH","15/05/18","CfE-Fresh","Granted","94868","15/05/18","CTE-106468","CTE-106468","14/05/20","10937--15/05/2018"
"30336","34630-Pnc Infratech Ltd.,","Green","DVG","05/05/18","CfO-Fresh","Granted","94866","14/05/18","AW-106467","AW-106467","31/12/20","10936--14/05/2018"
