"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"31491","40800-Magnetics Corporation Of India","Green","RMN","04/06/18","CfE-Fresh","Granted","95256","05/06/18","CTE-106594","CTE-106594","03/06/23","11230--05/06/2018"
"28088","36655-South Westren Railway Hospital","Orange","MY1","03/04/18","CfO-Renewal","Granted","94925","04/06/18","AW-306343","AW-306343","30/09/21","11229--04/06/2018"
"27362","37637-Shivashakti Zinc Plating, M-2, Govt Industrial Estate, Udyambag, Belagavi","Red","BE1","28/02/18","CfO-Fresh","Rejected","93213","04/06/18","AW-AW-306343Rejected","AW-AW-306343Rejected","",""
"27195","37639-Arkay Enterprises, Plot No. 9, Majukar Compound, Udyambag, Belagavi","Red","BE1","28/02/18","CfO-Fresh","Rejected","93214","04/06/18","AW-AW-306343Rejected","AW-AW-306343Rejected","",""
"27837","12567-Nichrome Chemicals","Red","DHW","03/03/18","CfO-Renewal","Rejected","93278","04/06/18","W-W-306343Rejected","W-W-306343Rejected","",""
"30555","40129-Sharda Pipe Polymer","Orange","B01","26/05/18","CfO-Fresh","Granted","95128","04/06/18","W-306342","W-306342","30/09/22","11228--04/06/2018"
"29174","38585-Asian Paints Limited","Orange","B10","23/04/18","CfO-Fresh","Granted","94410","04/06/18","AW-306341","AW-306341","30/09/22","11227--04/06/2018"
"30824","25816-Magic Mix","Green","KLR","02/06/18","CfO-Fresh","Granted","95232","02/06/18","AW-106593","AW-106593","31/12/26","11226--02/06/2018"
"28967","37965-Swayamprabha Udyam & Co.","Orange","UDP","30/04/18","CfE-Fresh","Granted","94620","02/06/18","CTE-306340","CTE-306340","01/06/23","11225--02/06/2018"
"30448","40052-M\s. Bangalore Mines & Mineral Products","Green","BR3","24/05/18","CfE-Fresh","Granted","95083","02/06/18","CTE-106592","CTE-106592","23/05/23","11224--02/06/2018"
"29907","39542-Alpinehill Garments Private Limited","Green","B06","02/06/18","CfE-Fresh","Granted","95233","02/06/18","CTE-106591","CTE-106591","31/12/18","11223--02/06/2018"
"31188","40576-Arihant Enterprises.,","Green","B01","31/05/18","CfO-Fresh","Granted","95210","02/06/18","W-106590","W-106590","31/12/26","11222--02/06/2018"
"29737","39444-Rayalseema Concerete Sleeper Pvt Ltd","Orange","YDG","31/03/18","CfE-Expand","Granted","93940","01/06/18","CTE-306339","CTE-306339","30/03/23","11221--01/06/2018"
"30224","39877-Noble Tarpaulin Company","Green","DVG","01/06/18","CfO-Fresh","Granted","95225","01/06/18","AW-106589","AW-106589","31/12/27","11220--01/06/2018"
